Descr.breve:;;A;
Descr.lunga:;;P.Dante-Ospedale-Fersina-Clarina-P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;Linea NP;;Linea A/;;Linea A/;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;Linea 12;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;;Linea A/;;;Linea A/;
Servizio:;;
gtfs trip_id;;;0003994732023091120240611;0003997212023091120240611;0003993452023091120240611;0003996622023091120240611;0003993462023091120240611;0003996632023091120240611;0003994442023091120240611;0003996742023091120240611;0004015892023091120240611;0003994552023091120240611;0003996642023091120240611;0003994452023091120240611;0003996752023091120240611;0004015902023091120240611;0003994562023091120240611;0003996652023091120240611;0003994462023091120240611;0003996762023091120240611;0004015912023091120240611;0003994572023091120240611;0003996662023091120240611;0003994472023091120240611;0003996772023091120240611;0004015922023091120240611;0003994582023091120240611;0003996672023091120240611;0003994482023091120240611;0003996782023091120240611;0004015932023091120240611;0003994592023091120240611;0003996682023091120240611;;0003997402023091120240611;0003996792023091120240611;0004015942023091120240611;0003994602023091120240611;0003996692023091120240611;0003994492023091120240611;0003996802023091120240611;0004015952023091120240611;0003994612023091120240611;0003996702023091120240611;0003994502023091120240611;0003996812023091120240611;0004015962023091120240611;0003994622023091120240611;0003996712023091120240611;0003994512023091120240611;0003996822023091120240611;0004015972023091120240611;0003994632023091120240611;0003996722023091120240611;0003994522023091120240611;0003996832023091120240611;0004015982023091120240611;0003994642023091120240611;0003996732023091120240611;0003994532023091120240611;0003996842023091120240611;0004015992023091120240611;0003994652023091120240611;0003996852023091120240611;0003994542023091120240611;0003996872023091120240611;0004016002023091120240611;0003994662023091120240611;0003996862023091120240611;
smartplanner route_id;;;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;
service_id;;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;
stops;stop_id;;0003994732023091120240611;0003997212023091120240611$GTFS_RS_Name=A;0003993452023091120240611;0003996622023091120240611$GTFS_RS_Name=A;0003993462023091120240611;0003996632023091120240611$GTFS_RS_Name=A;0003994442023091120240611;0003996742023091120240611$GTFS_RS_Name=A;0004015892023091120240611;0003994552023091120240611;0003996642023091120240611$GTFS_RS_Name=A;0003994452023091120240611;0003996752023091120240611$GTFS_RS_Name=A;0004015902023091120240611;0003994562023091120240611;0003996652023091120240611$GTFS_RS_Name=A;0003994462023091120240611;0003996762023091120240611$GTFS_RS_Name=A;0004015912023091120240611;0003994572023091120240611;0003996662023091120240611$GTFS_RS_Name=A;0003994472023091120240611;0003996772023091120240611$GTFS_RS_Name=A;0004015922023091120240611;0003994582023091120240611;0003996672023091120240611$GTFS_RS_Name=A;0003994482023091120240611;0003996782023091120240611$GTFS_RS_Name=A;0004015932023091120240611;0003994592023091120240611;0003996682023091120240611$GTFS_RS_Name=A;;0003997402023091120240611;0003996792023091120240611$GTFS_RS_Name=A;0004015942023091120240611;0003994602023091120240611;0003996692023091120240611$GTFS_RS_Name=A;0003994492023091120240611;0003996802023091120240611$GTFS_RS_Name=A;0004015952023091120240611;0003994612023091120240611;0003996702023091120240611$GTFS_RS_Name=A;0003994502023091120240611;0003996812023091120240611$GTFS_RS_Name=A;0004015962023091120240611;0003994622023091120240611;0003996712023091120240611$GTFS_RS_Name=A;0003994512023091120240611;0003996822023091120240611$GTFS_RS_Name=A;0004015972023091120240611;0003994632023091120240611;0003996722023091120240611$GTFS_RS_Name=A;0003994522023091120240611;0003996832023091120240611$GTFS_RS_Name=A;0004015982023091120240611;0003994642023091120240611;0003996732023091120240611$GTFS_RS_Name=A;0003994532023091120240611;0003996842023091120240611$GTFS_RS_Name=A;0004015992023091120240611;0003994652023091120240611;0003996852023091120240611$GTFS_RS_Name=A;0003994542023091120240611;0003996872023091120240611$GTFS_RS_Name=A;0004016002023091120240611;0003994662023091120240611;0003996862023091120240611$GTFS_RS_Name=A;
Piazza Dante "Stazione Fs";247;;06:20;06:45;07:10;07:20;07:40;07:50;08:10;08:20;08:27;08:40;08:50;09:10;09:20;09:27;09:40;09:50;10:10;10:20;10:27;10:40;10:50;11:10;11:20;11:27;11:40;11:50;12:10;12:20;12:27;12:40;12:50;;13:10;13:20;13:27;13:40;13:50;14:10;14:20;14:27;14:40;14:50;15:10;15:20;15:27;15:40;15:50;16:10;16:20;16:27;16:40;16:50;17:10;17:20;17:27;17:40;17:50;18:10;18:20;18:27;18:40;18:50;19:10;19:20;19:27;19:40;20:00;
*Torre Verde Galasso;443;;06:22;06:47;07:12;07:22;07:42;07:52;08:12;08:22;08:29;08:42;08:52;09:12;09:22;09:29;09:42;09:52;10:12;10:22;10:29;10:42;10:52;11:12;11:22;11:29;11:42;11:52;12:12;12:22;12:29;12:42;12:52;;13:12;13:22;13:29;13:42;13:52;14:12;14:22;14:29;14:42;14:52;15:12;15:22;15:29;15:42;15:52;16:12;16:22;16:29;16:42;16:52;17:12;17:22;17:29;17:42;17:52;18:12;18:22;18:29;18:42;18:52;19:12;19:22;19:29;19:42;20:02;
Castello Buonconsiglio;275;;06:24;06:49;07:14;07:24;07:44;07:54;08:14;08:24;08:31;08:44;08:54;09:14;09:24;09:31;09:44;09:54;10:14;10:24;10:31;10:44;10:54;11:14;11:24;11:31;11:44;11:54;12:14;12:24;12:31;12:44;12:54;;13:14;13:24;13:31;13:44;13:54;14:14;14:24;14:31;14:44;14:54;15:14;15:24;15:31;15:44;15:54;16:14;16:24;16:31;16:44;16:54;17:14;17:24;17:31;17:44;17:54;18:14;18:24;18:31;18:44;18:54;19:14;19:24;19:31;19:44;20:04;
S.Francesco Porta Nuova;410;;06:26;06:51;07:16;07:26;07:46;07:56;08:16;08:26;08:33;08:46;08:56;09:16;09:26;09:33;09:46;09:56;10:16;10:26;10:33;10:46;10:56;11:16;11:26;11:33;11:46;11:56;12:16;12:26;12:33;12:46;12:56;;13:16;13:26;13:33;13:46;13:56;14:16;14:26;14:33;14:46;14:56;15:16;15:26;15:33;15:46;15:56;16:16;16:26;16:33;16:46;16:56;17:16;17:26;17:33;17:46;17:56;18:16;18:26;18:33;18:46;18:56;19:16;19:26;19:33;19:46;20:06;
