Descr.breve:;;C;
Descr.lunga:;;Laste - Stazione - RSA S.Bartolomeo;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004007472023091120240611;0004007482023091120240611;0004007492023091120240611;0004007502023091120240611;0004007512023091120240611;0004007522023091120240611;0004007532023091120240611;0004007542023091120240611;
smartplanner route_id;;Cr;Cr;Cr;Cr;Cr;Cr;Cr;Cr;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0004007472023091120240611;0004007482023091120240611;0004007492023091120240611;0004007502023091120240611;0004007512023091120240611;0004007522023091120240611;0004007532023091120240611;0004007542023091120240611;
Piazza Madonna Delle Laste;228;08:42;09:52;11:02;;14:32;15:42;16:52;18:02;
Via Delle Laste;2759;08:43;09:53;11:03;;14:33;15:43;16:53;18:03;
Piazza Cappuccini;2670;08:44;09:54;11:04;;14:34;15:44;16:54;18:04;
Cervara "Scalinata";3092;08:45;09:55;11:05;;14:35;15:45;16:55;18:05;
Cervara "Port'aquila";178;08:46;09:56;11:06;;14:36;15:46;16:56;18:06;
Sanzio "Castello";276;08:47;09:57;11:07;;14:37;15:47;16:57;18:07;
Romagnosi Vannetti;403;08:49;09:59;11:09;;14:39;15:49;16:59;18:09;
Piazza Dante "Stazione Fs";247;08:50;10:00;11:10;13:26;14:40;15:50;17:00;18:10;
Rosmini S.Maria Maggiore;407;08:52;10:02;11:12;13:28;14:42;15:52;17:02;;
Rosmini "Cimitero" / Muse;404;08:54;10:04;11:14;13:30;14:44;15:54;17:04;;
Giusti Pascoli;348;08:55;10:05;11:15;13:31;14:45;15:55;17:05;;
S.Pio X Largo Prati;413;08:56;10:06;11:16;13:32;14:46;15:56;17:06;;
S.Pio X Benevoli;414;08:57;10:07;11:17;13:33;14:47;15:57;17:07;;
Degasperi Anna Frank;314;09:00;10:10;11:20;13:36;14:50;16:00;17:10;;
Degasperi La Clarina;320;09:02;10:12;11:22;13:38;14:52;16:02;17:12;;
Verona "Questura";461;09:05;10:15;11:25;13:41;14:55;16:05;17:15;;
Verona "Big Center";2537;09:06;10:16;11:26;13:42;14:56;16:06;17:16;;
Verona "Palazzo Stella";459;09:06;10:16;11:26;13:42;14:56;16:06;17:16;;
Verona Menguzzato;460;09:07;10:17;11:27;13:43;14:57;16:07;17:17;;
Rsa S.Bartolomeo;2872;09:09;10:19;11:29;13:45;14:59;16:09;17:19;;
;;;;;;;;;
