Descr.breve:;;G;
Descr.lunga:;;Spini e Gardolo di Mezzo - Gardolo;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0003998742023091120240611;0003990572023091120240611;0003990582023091120240611;0004005822023091120240611;0003994702023091120240611;0003990592023091120240611;0003994712023091120240611;0003990722023091120240611;0004007932023091120240611;0004007672023091120240611;0004007612023091120240611;0004007622023091120240611;0004007652023091120240611;0004007632023091120240611;0004007662023091120240611;0004007642023091120240611;0004007682023091120240611;0004007692023091120240611;
smartplanner route_id;;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003998742023091120240611$italic;0003990572023091120240611;0003990582023091120240611;0004005822023091120240611;0003994702023091120240611$italic;0003990592023091120240611;0003994712023091120240611$italic;0003990722023091120240611$italic;0004007932023091120240611$italic;0004007672023091120240611;0004007612023091120240611$italic;0004007622023091120240611$italic;0004007652023091120240611$italic;0004007632023091120240611$italic;0004007662023091120240611$italic;0004007642023091120240611$italic;0004007682023091120240611;0004007692023091120240611;
Spini di Gardolo;238;;;09:09;10:09;;11:09;;;;15:09;16:09;;17:09;;18:09;;19:09;20:09;
Spini Loghét;2664;;;09:09;10:09;;11:09;;;;15:09;16:09;;17:09;;18:09;;19:09;20:09;
Spini Monaco;242;;;09:10;10:10;;11:10;;;;15:10;16:10;;17:10;;18:10;;19:10;20:10;
Spini Klagenfurt;497;;;09:10;10:10;;11:10;;;;15:10;16:10;;17:10;;18:10;;19:10;20:10;
Spini Linz;240;;;09:11;10:11;;11:11;;;;15:11;16:11;;17:11;;18:11;;19:11;20:11;
Spini "Officine";493;;;;10:12;;;;;;15:12;16:12;;17:12;;18:12;;19:12;20:12;
Spini "Zona Ind.Le Ftm";495;;;;10:13;;;;;;15:13;16:13;;17:13;;18:13;;19:13;20:13;
Spini Palazzine;2925;;;09:12;;;11:12;;;;;;;;;;;;;
Palazzine Maso S.Antonio;2453;;;09:12;;;11:12;;;;;;;;;;;;;
Crosare Officina;2454;;;09:14;;;11:14;;;;;;;;;;;;;
Crosare Parcheggio;2455;;;09:15;;;11:15;;;;;;;;;;;;;
Ss 12 Bivio Meano;287;;;;10:14;;;;;;15:14;16:14;;17:14;;18:14;;19:14;20:14;
Ss 12 "Pioppeto";286;;;;10:15;;;;;;15:15;16:15;;17:15;;18:15;;19:15;20:15;
Gardolo "Cimitero";430;;;09:15;;;11:15;;;;;;;;;;;;;
Gardolo Soprasasso;429;;;09:16;;;11:16;;;;;;;;;;;;;
Gardolo P.Le Neufahrn Sud;52;;;09:17;10:17;;11:17;;;;15:17;16:17;;17:17;;18:17;;19:17;20:17;
Gardolo Piazza;54;;;;10:18;;11:18;;;;15:18;-16:19;;-17:19;;-18:19;;19:18;20:18;
Gard.D.Mezzo Maso Garbini;2764;-06:52;08:15;;;-10:11;;-11:40;-13:19;-14:01;;;-16:29;;-17:29;;-18:29;;;
Gard.D.Mezzo Dos D.La Luna;2763;06:53;08:16;;;10:12;;11:41;13:20;14:02;;;16:30;;17:30;;18:30;;;
Gardolo Castel di Gardolo;2458;06:59;08:22;;;10:18;;11:47;13:26;14:08;;;16:36;;17:36;;18:36;;;
Gardolo S.Anna Carpenedi;63;07:01;08:24;;;10:20;;11:49;13:28;14:10;;;16:38;;17:38;;18:38;;;
Gardolo S.Anna;51;07:02;08:25;;;10:21;;11:50;13:29;14:11;;;16:39;;17:39;;18:39;;;
Gardolo Piazza;55;07:03;08:26;;;10:22;;11:51;13:30;14:12;;;16:40;;17:40;;18:40;;;
Gardolo P.Le Neufahrn Nord;53;07:04;08:27;;;10:23;;11:52;13:31;14:13;;;16:41;;17:41;;18:41;;;
;;;;;;;;;;;;;;;;;;;
