Descr.breve:;;3;
Descr.lunga:;;Cortesano - Melta - P.Dante - Villazzano 3;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004013092023091120240611;0004008482023091120240611;0004008562023091120240611;0004008492023091120240611;0004008572023091120240611;0004008502023091120240611;0004008582023091120240611;0004008512023091120240611;0004008592023091120240611;0004008522023091120240611;0004008602023091120240611;0004008532023091120240611;0004008612023091120240611;0004008542023091120240611;0004008622023091120240611;0004008552023091120240611;0004013102023091120240611;0004013062023091120240611;
smartplanner route_id;;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;03A;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013092023091120240611;0004008482023091120240611;0004008562023091120240611;0004008492023091120240611;0004008572023091120240611;0004008502023091120240611;0004008582023091120240611;0004008512023091120240611;0004008592023091120240611;0004008522023091120240611;0004008602023091120240611;0004008532023091120240611;0004008612023091120240611;0004008542023091120240611;0004008622023091120240611;0004008552023091120240611;0004013102023091120240611;0004013062023091120240611;
Cortesano;38;05:49;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
*Vigo Meano Alle Gorghe;40;05:50;06:50;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;21:50;22:50;
Vigo Meano Piazza Stainer;470;05:51;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
*Vigo Meano Don Perugini;2970;05:51;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
*Vigo Meano Rio Papa;468;05:52;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
*Gazzadina Al Molar;472;05:53;06:53;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;21:53;22:53;
*Gazzadina Al Pontat;67;05:54;06:54;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;21:54;22:54;
Gazzadina Strada Vecchia;68;05:55;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
*Sp 76 "Maregioli";134;05:56;06:56;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;21:56;22:56;
