Descr.breve:;;3;
Descr.lunga:;;Villazzano 3 - P.Dante - Melta - Cortesano;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004013072023091120240611;0004008702023091120240611;0004008632023091120240611;0004008712023091120240611;0004008642023091120240611;0004008722023091120240611;0004008652023091120240611;0004008732023091120240611;0004008662023091120240611;0004008742023091120240611;0004008672023091120240611;0004008752023091120240611;0004008682023091120240611;0004008762023091120240611;0004008692023091120240611;0004008772023091120240611;0004013082023091120240611;0004013112023091120240611;
smartplanner route_id;;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;03R;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013072023091120240611;0004008702023091120240611;0004008632023091120240611;0004008712023091120240611;0004008642023091120240611;0004008722023091120240611;0004008652023091120240611;0004008732023091120240611;0004008662023091120240611;0004008742023091120240611;0004008672023091120240611;0004008752023091120240611;0004008682023091120240611;0004008762023091120240611;0004008692023091120240611;0004008772023091120240611;0004013082023091120240611;0004013112023091120240611;
Conci "Villazzano 3";488;05:49;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
*Conci De Riccabona;311;05:49;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
Conci Ferrovia;313;05:50;06:50;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;21:50;22:50;
*Menguzzato Al Casteller;385;05:51;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
Menguzzato "Centro Civico";384;05:52;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
Verona "Big Center";2538;05:53;06:53;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;21:53;22:53;
Verona "Questura";464;05:54;06:54;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;21:54;22:54;
Verona "S.Bartolameo";218;05:55;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
Verona Einaudi;463;05:55;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
Verona Fogazzaro;458;05:56;06:56;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;21:56;22:56;
3 Nov. "Ponte Cavalleggeri";466;05:58;06:58;07:58;08:58;09:58;10:58;11:58;12:58;13:58;14:58;15:58;16:58;17:58;18:58;19:58;20:58;21:58;22:58;
3 Nov. "Centro S.Chiara";409;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;
Piazza di Fiera;165;06:01;07:01;08:01;09:01;10:01;11:01;12:01;13:01;14:01;15:01;16:01;17:01;18:01;19:01;20:01;21:01;22:01;23:01;
S.Francesco Porta Nuova;166;06:03;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
Sanzio "Castello";276;06:06;07:06;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;22:06;23:06;
Romagnosi Vannetti;403;06:08;07:08;08:08;09:08;10:08;11:08;12:08;13:08;14:08;15:08;16:08;17:08;18:08;19:08;20:08;21:08;22:08;23:08;
Centa Brennero;2961;06:09;07:09;08:09;09:09;10:09;11:09;12:09;13:09;14:09;15:09;16:09;17:09;18:09;19:09;20:09;21:09;22:09;23:09;
*Brennero Malvasia;294;06:10;07:10;08:10;09:10;10:10;11:10;12:10;13:10;14:10;15:10;16:10;17:10;18:10;19:10;20:10;21:10;22:10;23:10;
*Brennero "Ex Scalo Filzi";297;06:11;07:11;08:11;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;21:11;22:11;23:11;
Brennero Marconi;293;06:13;07:13;08:13;09:13;10:13;11:13;12:13;13:13;14:13;15:13;16:13;17:13;18:13;19:13;20:13;21:13;22:13;23:13;
*Marconi Solteri;374;06:14;07:14;08:14;09:14;10:14;11:14;12:14;13:14;14:14;15:14;16:14;17:14;18:14;19:14;20:14;21:14;22:14;23:14;
*Solteri "Piazzina";422;06:15;07:15;08:15;09:15;10:15;11:15;12:15;13:15;14:15;15:15;16:15;17:15;18:15;19:15;20:15;21:15;22:15;23:15;
Solteri "Nido La Trottola";426;06:15;07:15;08:15;09:15;10:15;11:15;12:15;13:15;14:15;15:15;16:15;17:15;18:15;19:15;20:15;21:15;22:15;23:15;
*Solteri Largaiolli;424;06:16;07:16;08:16;09:16;10:16;11:16;12:16;13:16;14:16;15:16;16:16;17:16;18:16;19:16;20:16;21:16;22:16;23:16;
Guardini Gilli;356;06:17;07:17;08:17;09:17;10:17;11:17;12:17;13:17;14:17;15:17;16:17;17:17;18:17;19:17;20:17;21:17;22:17;23:17;
*Lunelli Centochiavi;358;06:18;07:18;08:18;09:18;10:18;11:18;12:18;13:18;14:18;15:18;16:18;17:18;18:18;19:18;20:18;21:18;22:18;23:18;
Centochiavi Dalla Fior;85;06:19;07:19;08:19;09:19;10:19;11:19;12:19;13:19;14:19;15:19;16:19;17:19;18:19;19:19;20:19;21:19;22:19;23:19;
