Descr.breve:;;4;
Descr.lunga:;;Spini-Gardolo-Roncafort-Staz.-Mad.Bianca;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004013152023091120240611;0004008792023091120240611;0004008932023091120240611;0004008802023091120240611;0004008942023091120240611;0004008812023091120240611;0004008952023091120240611;0004008822023091120240611;0004008962023091120240611;0004008832023091120240611;0004008972023091120240611;0004008842023091120240611;0004008982023091120240611;0004008852023091120240611;0004008992023091120240611;0004013122023091120240611;0004013162023091120240611;
smartplanner route_id;;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;04A;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013152023091120240611;0004008792023091120240611;0004008932023091120240611;0004008802023091120240611;0004008942023091120240611;0004008812023091120240611;0004008952023091120240611;0004008822023091120240611;0004008962023091120240611;0004008832023091120240611;0004008972023091120240611;0004008842023091120240611;0004008982023091120240611;0004008852023091120240611;0004008992023091120240611;0004013122023091120240611;0004013162023091120240611;
Spini di Gardolo;238;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
*Spini Loghét;2664;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
*Spini Monaco;242;06:34;07:34;08:34;09:34;10:34;11:34;12:34;13:34;14:34;15:34;16:34;17:34;18:34;19:34;20:34;21:34;22:34;
*Spini Klagenfurt;497;06:34;07:34;08:34;09:34;10:34;11:34;12:34;13:34;14:34;15:34;16:34;17:34;18:34;19:34;20:34;21:34;22:34;
Spini Linz;240;06:35;07:35;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;21:35;22:35;
*Spini "Officine";493;06:36;07:36;08:36;09:36;10:36;11:36;12:36;13:36;14:36;15:36;16:36;17:36;18:36;19:36;20:36;21:36;22:36;
Spini "Zona Ind.Le Ftm";495;06:37;07:37;08:37;09:37;10:37;11:37;12:37;13:37;14:37;15:37;16:37;17:37;18:37;19:37;20:37;21:37;22:37;
*Ss 12 Bivio Meano;287;06:38;07:38;08:38;09:38;10:38;11:38;12:38;13:38;14:38;15:38;16:38;17:38;18:38;19:38;20:38;21:38;22:38;
Gardolo S.Anna Carpenedi;63;06:39;07:39;08:39;09:39;10:39;11:39;12:39;13:39;14:39;15:39;16:39;17:39;18:39;19:39;20:39;21:39;22:39;
*Gardolo S.Anna;51;06:40;07:40;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;21:40;22:40;
Gardolo Piazza;55;06:41;07:41;08:41;09:41;10:41;11:41;12:41;13:41;14:41;15:41;16:41;17:41;18:41;19:41;20:41;21:41;22:41;
Gardolo P.Le Neufahrn Nord;53;06:42;07:42;08:42;09:42;10:42;11:42;12:42;13:42;14:42;15:42;16:42;17:42;18:42;19:42;20:42;21:42;22:42;
Gardolo Soprasasso;428;06:43;07:43;08:43;09:43;10:43;11:43;12:43;13:43;14:43;15:43;16:43;17:43;18:43;19:43;20:43;21:43;22:43;
*Gardolo "Stazione Ftm";261;06:44;07:44;08:44;09:44;10:44;11:44;12:44;13:44;14:44;15:44;16:44;17:44;18:44;19:44;20:44;21:44;22:44;
M. Rossi "Stella D.Mattino";262;06:45;07:45;08:45;09:45;10:45;11:45;12:45;13:45;14:45;15:45;16:45;17:45;18:45;19:45;20:45;21:45;22:45;
*Maso Rossi Aichner;441;06:46;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;21:46;22:46;
Roncafort;213;06:48;07:48;08:48;09:48;10:48;11:48;12:48;13:48;14:48;15:48;16:48;17:48;18:48;19:48;20:48;21:48;22:48;
*Roncafort Caproni;2491;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
Roncafort Bettine;2492;06:50;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;21:50;22:50;
Caneppele Goio;305;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
Maccani Commercio;362;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
Maccani "Polizia Locale";369;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
*Maccani "Ex Sloi";372;06:53;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;21:53;22:53;
*Maccani Campotrentino;364;06:54;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;21:54;22:54;
Maccani "Rotatoria";360;06:54;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;21:54;22:54;
*Maccani Abondi;366;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
*Oberziner Alpini;397;06:56;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;21:56;22:56;
F.Lli Fontana Gen. Cantore;162;06:57;07:57;08:57;09:57;10:57;11:57;12:57;13:57;14:57;15:57;16:57;17:57;18:57;19:57;20:57;21:57;22:57;
Segantini Centa;420;06:59;07:59;08:59;09:59;10:59;11:59;12:59;13:59;14:59;15:59;16:59;17:59;18:59;19:59;20:59;21:59;22:59;
*Segantini Dogana;421;06:59;07:59;08:59;09:59;10:59;11:59;12:59;13:59;14:59;15:59;16:59;17:59;18:59;19:59;20:59;21:59;22:59;
Piazza Dante "Stazione Fs";247;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;
Rosmini S.Maria Maggiore;407;07:02;08:02;09:02;10:02;11:02;12:02;13:02;14:02;15:02;16:02;17:02;18:02;19:02;20:02;21:02;22:02;23:02;
Rosmini "Cimitero" / Muse;404;07:04;08:04;09:04;10:04;11:04;12:04;13:04;14:04;15:04;16:04;17:04;18:04;19:04;20:04;21:04;22:04;23:04;
Giusti Pascoli;348;07:05;08:05;09:05;10:05;11:05;12:05;13:05;14:05;15:05;16:05;17:05;18:05;19:05;20:05;21:05;22:05;23:05;
S.Pio X Largo Prati;413;07:06;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;22:06;23:06;
S.Pio X Benevoli;414;07:07;08:07;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;21:07;22:07;23:07;
Degasperi Anna Frank;314;07:10;08:10;09:10;10:10;11:10;12:10;13:10;14:10;15:10;16:10;17:10;18:10;19:10;20:10;21:10;22:10;23:10;
Degasperi La Clarina;320;07:12;08:12;09:12;10:12;11:12;12:12;13:12;14:12;15:12;16:12;17:12;18:12;19:12;20:12;21:12;22:12;23:12;
Degasperi "Big Center";318;07:13;08:13;09:13;10:13;11:13;12:13;13:13;14:13;15:13;16:13;17:13;18:13;19:13;20:13;21:13;22:13;23:13;
Degasperi "Palazzo Stella";316;07:14;08:14;09:14;10:14;11:14;12:14;13:14;14:14;15:14;16:14;17:14;18:14;19:14;20:14;21:14;22:14;23:14;
Menguzzato "Centro Civico";383;07:16;08:16;09:16;10:16;11:16;12:16;13:16;14:16;15:16;16:16;17:16;18:16;19:16;20:16;21:16;22:16;23:16;
Menguzzato Al Casteller;382;07:17;08:17;09:17;10:17;11:17;12:17;13:17;14:17;15:17;16:17;17:17;18:17;19:17;20:17;21:17;22:17;23:17;
Bettini "Nido Mad. Bianca";281;07:17;08:17;09:17;10:17;11:17;12:17;13:17;14:17;15:17;16:17;17:17;18:17;19:17;20:17;21:17;22:17;23:17;
Bettini "Madonna Bianca";92;07:18;08:18;09:18;10:18;11:18;12:18;13:18;14:18;15:18;16:18;17:18;18:18;19:18;20:18;21:18;22:18;23:18;
