Descr.breve:;;6;
Descr.lunga:;;Grotta - Villazzano - P.Dante - Sopramonte;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;
Servizio:;;
gtfs trip_id;;;;;;;;;;;;;;;;;;;
smartplanner route_id;;;;;;;;;;;;;;;;;;;
service_id;;;;;;;;;;;;;;;;;;;
stops;stop_id;;;;;;;;;;;;;;;;;;
grotta piazza;;;;;;;;;;;;;;;;;;;
villazzano villa belfonte;;;;;;;;;;;;;;;;;;;
villazzano marzola;;;;;;;;;;;;;;;;;;;
villazzano giordano;;;;;;;;;;;;;;;;;;;
villazzano piazza nicolini;;;;;;;;;;;;;;;;;;;
villazzano "chiesa";;;;;;;;;;;;;;;;;;;
villazzano banala;;;;;;;;;;;;;;;;;;;
villazzano "villa tambosi";;;;;;;;;;;;;;;;;;;
san rocco piazza;;;;;;;;;;;;;;;;;;;
san rocco torricelle;;;;;;;;;;;;;;;;;;;
ss 349 pozzata;;;;;;;;;;;;;;;;;;;
villazzano "stazione fs";;;;;;;;;;;;;;;;;;;
asiago s. bartolameo;;;;;;;;;;;;;;;;;;;
asiago "cernidor";;;;;;;;;;;;;;;;;;;
asiago "bellevue";;;;;;;;;;;;;;;;;;;
vicenza montello;;;;;;;;;;;;;;;;;;;
piazza vicenza;;;;;;;;;;;;;;;;;;;
giovanelli "osp. s.camillo";;;;;;;;;;;;;;;;;;;
grazioli brigata acqui;;;;;;;;;;;;;;;;;;;
sanzio "castello";;;;;;;;;;;;;;;;;;;
romagnosi vannetti;;;;;;;;;;;;;;;;;;;
piazza dante "stazione fs";;;;;;;;;;;;;;;;;;;
s.lorenzo "funivia";;;;;;;;;;;;;;;;;;;
brescia "piedicastello";;;;;;;;;;;;;;;;;;;
brescia divisioni alpine;;;;;;;;;;;;;;;;;;;
cadine strada gardesana;;;;;;;;;;;;;;;;;;;
baselga del bondone;;;;;;;;;;;;;;;;;;;
sopramonte piazza oveno;;;;;;;;;;;;;;;;;;;
sopramonte "maso banal";;;;;;;;;;;;;;;;;;;
sopramonte piazza oveno;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
