Descr.breve:;;8;
Descr.lunga:;;Lavis - Piazza Dante - Mattarello;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;Linea 8/;
Servizio:;;
gtfs trip_id;;0004013232023091120240611;0004009362023091120240611;0004009442023091120240611;0004009372023091120240611;0004009452023091120240611;0004009382023091120240611;0004009462023091120240611;0004009392023091120240611;0004009472023091120240611;0004009402023091120240611;0004009482023091120240611;0004009412023091120240611;0004009492023091120240611;0004009422023091120240611;0004009502023091120240611;0004009432023091120240611;0004013242023091120240611;
smartplanner route_id;;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;08A;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013232023091120240611$GTFS_RS_Name=8;0004009362023091120240611$GTFS_RS_Name=8;0004009442023091120240611$GTFS_RS_Name=8;0004009372023091120240611$GTFS_RS_Name=8;0004009452023091120240611$GTFS_RS_Name=8;0004009382023091120240611$GTFS_RS_Name=8;0004009462023091120240611$GTFS_RS_Name=8;0004009392023091120240611$GTFS_RS_Name=8;0004009472023091120240611$GTFS_RS_Name=8;0004009402023091120240611$GTFS_RS_Name=8;0004009482023091120240611$GTFS_RS_Name=8;0004009412023091120240611$GTFS_RS_Name=8;0004009492023091120240611$GTFS_RS_Name=8;0004009422023091120240611$GTFS_RS_Name=8;0004009502023091120240611$GTFS_RS_Name=8;0004009432023091120240611$GTFS_RS_Name=8;0004013242023091120240611$GTFS_RS_Name=8;
Lavis Nazionale;77;06:32;07:32;08:32;09:32;10:32;11:32;12:32;13:32;14:32;15:32;16:32;17:32;18:32;19:32;20:32;21:32;22:32;
Lavis "Stazione Ftm";3093;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
Lavis Cantina "La-Vis";3091;06:35;07:35;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;21:35;22:35;
Lamar "Ftm";74;06:37;07:37;08:37;09:37;10:37;11:37;12:37;13:37;14:37;15:37;16:37;17:37;18:37;19:37;20:37;21:37;22:37;
Ss 12 "Zona Ind.Le Ftm";214;06:38;07:38;08:38;09:38;10:38;11:38;12:38;13:38;14:38;15:38;16:38;17:38;18:38;19:38;20:38;21:38;22:38;
Ss 12 "Pioppeto";286;06:40;07:40;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;21:40;22:40;
Brennero "Bren Center";291;06:44;07:44;08:44;09:44;10:44;11:44;12:44;13:44;14:44;15:44;16:44;17:44;18:44;19:44;20:44;21:44;22:44;
Brennero Marconi;295;06:46;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;21:46;22:46;
Piazza Dante "Stazione Fs";247;06:50;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;21:50;22:50;
Rosmini S.Maria Maggiore;407;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
Travai Al Nuoto / Muse;444;06:54;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;21:54;22:54;
Travai Piazza Fiera;2405;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
3 Nov. "Centro S.Chiara";408;06:56;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;21:56;22:56;
3 Nov. "Ponte Cavalleggeri";524;06:58;07:58;08:58;09:58;10:58;11:58;12:58;13:58;14:58;15:58;16:58;17:58;18:58;19:58;20:58;21:58;22:58;
Verona Fogazzaro;457;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;
Verona Einaudi;462;07:01;08:01;09:01;10:01;11:01;12:01;13:01;14:01;15:01;16:01;17:01;18:01;19:01;20:01;21:01;22:01;23:01;
Verona "S.Bartolameo";217;07:01;08:01;09:01;10:01;11:01;12:01;13:01;14:01;15:01;16:01;17:01;18:01;19:01;20:01;21:01;22:01;23:01;
Verona "Questura";461;07:02;08:02;09:02;10:02;11:02;12:02;13:02;14:02;15:02;16:02;17:02;18:02;19:02;20:02;21:02;22:02;23:02;
Verona "Big Center";2537;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
Verona "Palazzo Stella";459;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
Madonna Bianca "Man";98;07:04;08:04;09:04;10:04;11:04;12:04;13:04;14:04;15:04;16:04;17:04;18:04;19:04;20:04;21:04;22:04;23:04;
Stella "S.Gaetano";93;07:05;08:05;09:05;10:05;11:05;12:05;13:05;14:05;15:05;16:05;17:05;18:05;19:05;20:05;21:05;22:05;23:05;
Ss 12 "Le Caverne";99;07:07;08:07;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;21:07;22:07;23:07;
Ss 12 "Casteller";94;07:08;08:08;09:08;10:08;11:08;12:08;13:08;14:08;15:08;16:08;17:08;18:08;19:08;20:08;21:08;22:08;23:08;
Mattarello "Ronchi";123;07:09;08:09;09:09;10:09;11:09;12:09;13:09;14:09;15:09;16:09;17:09;18:09;19:09;20:09;21:09;22:09;23:09;
Mattarello Via Nazionale;120;07:11;08:11;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;21:11;22:11;23:11;
Mattarello Gotarda;2814;07:11;08:11;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;21:11;22:11;23:11;
Mattarello Ex Stazione;2953;07:12;08:12;09:12;10:12;11:12;12:12;13:12;14:12;15:12;16:12;17:12;18:12;19:12;20:12;21:12;22:12;23:12;
Mattarello Fratte;2815;07:13;08:13;09:13;10:13;11:13;12:13;13:13;14:13;15:13;16:13;17:13;18:13;19:13;20:13;21:13;22:13;23:13;
Mattarello Sud;2954;07:14;08:14;09:14;10:14;11:14;12:14;13:14;14:14;15:14;16:14;17:14;18:14;19:14;20:14;21:14;22:14;23:14;
;;;;;;;;;;;;;;;;;;
