Descr.breve:;;9;
Descr.lunga:;;P.Dante - S.Donà - Cognola - Villamontagna;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 10/;;;;;;;;;;;;;Linea 10/;;;;;;;;;;;;;;;;;;;;;;Linea 10;Linea 5;Linea 10;Linea 5;Linea 10;Linea 5;
Servizio:;;
gtfs trip_id;;0003988412023091120240611;0003989802023091120240611;0003989792023091120240611;0003988402023091120240611;0003989812023091120240611;0003989832023091120240611;0004016582023091120240611;0003989962023091120240611;0004016592023091120240611;0003989822023091120240611;0003989842023091120240611;0003990092023091120240611;0004016602023091120240611;0003989972023091120240611;0003989852023091120240611;0003990102023091120240611;0004016612023091120240611;0003989982023091120240611;0003989862023091120240611;0003990112023091120240611;0004016622023091120240611;0003989992023091120240611;0003988452023091120240611;0003989872023091120240611;0003990122023091120240611;0004016632023091120240611;0003990002023091120240611;;0003991482023091120240611;0003989882023091120240611;0003990132023091120240611;0004014802023091120240611;0003990012023091120240611;0003989892023091120240611;0003990142023091120240611;0004014812023091120240611;0003990022023091120240611;0003989902023091120240611;0003990152023091120240611;0004014822023091120240611;;0003990032023091120240611;0003989912023091120240611;0003990162023091120240611;0004014832023091120240611;0003990042023091120240611;0003989922023091120240611;0003990172023091120240611;0004014842023091120240611;0003990052023091120240611;0003989932023091120240611;0003990182023091120240611;0004014852023091120240611;0003990062023091120240611;0003989942023091120240611;0003990192023091120240611;0004014862023091120240611;0003990072023091120240611;0003989952023091120240611;0003990202023091120240611;0004014872023091120240611;0003990082023091120240611;;;;;;;
smartplanner route_id;;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;09A;;;;;;;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000032023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;;;;;;;
stops;stop_id;0003988412023091120240611;0003989802023091120240611;0003989792023091120240611;0003988402023091120240611;0003989812023091120240611;0003989832023091120240611;0004016582023091120240611;0003989962023091120240611;0004016592023091120240611;0003989822023091120240611;0003989842023091120240611;0003990092023091120240611;0004016602023091120240611;0003989972023091120240611;0003989852023091120240611;0003990102023091120240611;0004016612023091120240611;0003989982023091120240611;0003989862023091120240611;0003990112023091120240611;0004016622023091120240611;0003989992023091120240611;0003988452023091120240611;0003989872023091120240611;0003990122023091120240611;0004016632023091120240611;0003990002023091120240611;;0003991482023091120240611;0003989882023091120240611;0003990132023091120240611;0004014802023091120240611;0003990012023091120240611;0003989892023091120240611;0003990142023091120240611;0004014812023091120240611;0003990022023091120240611;0003989902023091120240611;0003990152023091120240611;0004014822023091120240611;;0003990032023091120240611;0003989912023091120240611;0003990162023091120240611;0004014832023091120240611;0003990042023091120240611;0003989922023091120240611;0003990172023091120240611;0004014842023091120240611;0003990052023091120240611;0003989932023091120240611;0003990182023091120240611;0004014852023091120240611;0003990062023091120240611;0003989942023091120240611;0003990192023091120240611;0004014862023091120240611;0003990072023091120240611;0003989952023091120240611;0003990202023091120240611;0004014872023091120240611;0003990082023091120240611;;;;;;;
Piazza Dante "Stazione Fs";247;06:29;06:53;07:09;07:24;07:49;08:09;08:19;08:29;08:49;08:59;09:19;09:39;09:49;09:59;10:19;10:39;10:49;10:59;11:19;11:39;11:49;11:59;12:09;12:19;12:39;12:49;13:04;;13:10;13:19;13:39;13:49;13:59;14:19;14:39;14:49;14:59;15:19;15:39;15:49;;15:59;16:19;16:39;16:49;16:59;17:19;17:39;17:49;17:59;18:19;18:39;18:49;18:59;19:19;19:39;19:49;19:59;20:19;20:39;20:49;20:59;;;;;;;
Rosmini S.Maria Maggiore;407;06:31;06:55;07:11;07:26;07:51;08:11;08:21;08:31;08:51;09:01;09:21;09:41;09:51;10:01;10:21;10:41;10:51;11:01;11:21;11:41;11:51;12:01;12:11;12:21;12:41;12:51;13:06;;13:12;13:21;13:41;13:51;14:01;14:21;14:41;14:51;15:01;15:21;15:41;15:51;;16:01;16:21;16:41;16:51;17:01;17:21;17:41;17:51;18:01;18:21;18:41;18:51;19:01;19:21;19:41;19:51;20:01;20:21;20:41;20:51;21:01;;;;;;;
Travai Al Nuoto / Muse;444;06:33;06:57;07:13;07:28;07:53;08:13;08:23;08:33;08:53;09:03;09:23;09:43;09:53;10:03;10:23;10:43;10:53;11:03;11:23;11:43;11:53;12:03;12:13;12:23;12:43;12:53;13:08;;13:14;13:23;13:43;13:53;14:03;14:23;14:43;14:53;15:03;15:23;15:43;15:53;;16:03;16:23;16:43;16:53;17:03;17:23;17:43;17:53;18:03;18:23;18:43;18:53;19:03;19:23;19:43;19:53;20:03;20:23;20:43;20:53;21:03;;;;;;;
Piazza di Fiera;165;06:34;06:58;07:14;07:29;07:54;08:14;08:24;08:34;08:54;09:04;09:24;09:44;09:54;10:04;10:24;10:44;10:54;11:04;11:24;11:44;11:54;12:04;12:14;12:24;12:44;12:54;13:09;;13:15;13:24;13:44;13:54;14:04;14:24;14:44;14:54;15:04;15:24;15:44;15:54;;16:04;16:24;16:44;16:54;17:04;17:24;17:44;17:54;18:04;18:24;18:44;18:54;19:04;19:24;19:44;19:54;20:04;20:24;20:44;20:54;21:04;;;;;;;
S.Francesco Porta Nuova;166;06:36;07:00;07:16;07:31;07:56;08:16;08:26;08:36;08:56;09:06;09:26;09:46;09:56;10:06;10:26;10:46;10:56;11:06;11:26;11:46;11:56;12:06;12:16;12:26;12:46;12:56;13:11;;13:17;13:26;13:46;13:56;14:06;14:26;14:46;14:56;15:06;15:26;15:46;15:56;;16:06;16:26;16:46;16:56;17:06;17:26;17:46;17:56;18:06;18:26;18:46;18:56;19:06;19:26;19:46;19:56;20:06;20:26;20:46;20:56;21:06;;;;;;;
Venezia "Port'aquila";2927;06:36;07:00;07:16;07:31;07:56;08:16;08:26;08:36;08:56;09:06;09:26;09:46;09:56;10:06;10:26;10:46;10:56;11:06;11:26;11:46;11:56;12:06;12:16;12:26;12:46;12:56;13:11;;13:17;13:26;13:46;13:56;14:06;14:26;14:46;14:56;15:06;15:26;15:46;15:56;;16:06;16:26;16:46;16:56;17:06;17:26;17:46;17:56;18:06;18:26;18:46;18:56;19:06;19:26;19:46;19:56;20:06;20:26;20:46;20:56;21:06;;;;;;;
Venezia Cave;450;06:37;07:01;07:17;07:32;07:57;08:17;08:27;08:37;08:57;09:07;09:27;09:47;09:57;10:07;10:27;10:47;10:57;11:07;11:27;11:47;11:57;12:07;12:17;12:27;12:47;12:57;13:12;;13:18;13:27;13:47;13:57;14:07;14:27;14:47;14:57;15:07;15:27;15:47;15:57;;16:07;16:27;16:47;16:57;17:07;17:27;17:47;17:57;18:07;18:27;18:47;18:57;19:07;19:27;19:47;19:57;20:07;20:27;20:47;20:57;21:07;;;;;;;
