Descr.breve:;;10;
Descr.lunga:;;P.Dante - Martignano - Cognola / Montevaccino;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;;;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Giovedì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;;Linea 10/;;Linea 9;;;;Linea M;;;Linea M;;Linea M;;;Linea M;;;Linea M;;Linea M;;;Linea M;;Linea M;;;Linea M;;;;Linea 10/;;;;;Linea 10/;;Linea 10/;;;Linea M;;Linea M;;;Linea M;;;Linea M;;Linea M;;;Linea 10/;Linea 10/;;Linea M;;;Linea M;;;Linea M;;Linea M;;;Linea M;;Linea M;;;Linea M;;;Linea M;;Linea M;;;Linea M;;Linea M;
Servizio:;;
gtfs trip_id;;0003992192023091120240611;0003990692023091120240611;0003992202023091120240611;;0003992212023091120240611;0003992022023091120240611;0003992332023091120240611;;0003992062023091120240611;0003992032023091120240611;;0004019202023091120240611;;0003992342023091120240611;0003992072023091120240611;;0003992222023091120240611;0004019212023091120240611;;0003992352023091120240611;;0003992082023091120240611;0003992232023091120240611;;0004019222023091120240611;;0003992362023091120240611;0003992092023091120240611;;0003992242023091120240611;0004019232023091120240611;0003992372023091120240611;0003990702023091120240611;0003990512023091120240611;0003992102023091120240611;0003992252023091120240611;0004019242023091120240611;0003992522023091120240611;0003992382023091120240611;0003990322023091120240611;0003992112023091120240611;0003992262023091120240611;;0004019252023091120240611;;0003992392023091120240611;0003992122023091120240611;;0003992272023091120240611;0004019262023091120240611;;0004014972023091120240611;;0003992132023091120240611;0003992282023091120240611;0003990332023091120240611;0004013882023091120240611;0004019272023091120240611;;0003992412023091120240611;0003992142023091120240611;;0003992292023091120240611;0004019282023091120240611;;0003992422023091120240611;;0003992152023091120240611;0003992302023091120240611;;0004019292023091120240611;;0003992432023091120240611;0003992162023091120240611;;0003992312023091120240611;0004019302023091120240611;;0003992042023091120240611;;0003992172023091120240611;0003992322023091120240611;;0004019312023091120240611;;0003992052023091120240611;0003992182023091120240611;0004013822023091120240611;0004013832023091120240611;0004013842023091120240611;
smartplanner route_id;;10A;10A;10A;;10A;10A;10A;;10A;10A;;10A;;10A;10A;;10A;10A;;10A;;10A;10A;;10A;;10A;10A;;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;;10A;;10A;10A;;10A;10A;;10A;;10A;10A;10A;10A;10A;;10A;10A;;10A;10A;;10A;;10A;10A;;10A;;10A;10A;;10A;10A;;10A;;10A;10A;;10A;;10A;10A;10A;10A;10A;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;0000000102023091120240611;;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000001642023091120240611;;0000000102023091120240611;;0000000022023091120240611;0000000102023091120240611;;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000032023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000032023091120240611;0000000102023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000001642023091120240611;;0000000102023091120240611;;0000000022023091120240611;0000000102023091120240611;0000000022023091120240611;0000000112023091120240611;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000001642023091120240611;;0000000102023091120240611;;0000000022023091120240611;0000000102023091120240611;;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;;0000000102023091120240611;0000001642023091120240611;;0000000102023091120240611;;0000000022023091120240611;0000000102023091120240611;;0000001642023091120240611;;0000000102023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003992192023091120240611;0003990692023091120240611$GTFS_RS_Name=10;0003992202023091120240611;;0003992212023091120240611;0003992022023091120240611;0003992332023091120240611;;0003992062023091120240611;0003992032023091120240611;;0004019202023091120240611;;0003992342023091120240611;0003992072023091120240611;;0003992222023091120240611;0004019212023091120240611;;0003992352023091120240611;;0003992082023091120240611;0003992232023091120240611;;0004019222023091120240611;;0003992362023091120240611;0003992092023091120240611;;0003992242023091120240611;0004019232023091120240611;0003992372023091120240611;0003990702023091120240611$GTFS_RS_Name=10;0003990512023091120240611;0003992102023091120240611;0003992252023091120240611;0004019242023091120240611;0003992522023091120240611$GTFS_RS_Name=10;0003992382023091120240611;0003990322023091120240611$GTFS_RS_Name=10;0003992112023091120240611;0003992262023091120240611;;0004019252023091120240611;;0003992392023091120240611;0003992122023091120240611;;0003992272023091120240611;0004019262023091120240611;;0004014972023091120240611;;0003992132023091120240611;0003992282023091120240611;0003990332023091120240611$GTFS_RS_Name=10;0004013882023091120240611$GTFS_RS_Name=10;0004019272023091120240611;;0003992412023091120240611;0003992142023091120240611;;0003992292023091120240611;0004019282023091120240611;;0003992422023091120240611;;0003992152023091120240611;0003992302023091120240611;;0004019292023091120240611;;0003992432023091120240611;0003992162023091120240611;;0003992312023091120240611;0004019302023091120240611;;0003992042023091120240611;;0003992172023091120240611;0003992322023091120240611;;0004019312023091120240611;;0003992052023091120240611;0003992182023091120240611;0004013822023091120240611;0004013832023091120240611;0004013842023091120240611;
Piazza Dante "Stazione Fs";247;06:51;;07:11;;07:26;07:46;08:11;;08:31;08:51;;09:01;;09:11;09:31;;09:51;10:01;;10:11;;10:31;10:51;;11:01;;11:11;11:31;;11:51;12:01;12:11;12:12;12:26;12:31;12:51;13:01;13:06;13:11;13:13;13:31;13:51;;14:01;;14:11;14:31;;14:51;15:01;;15:11;;15:31;15:51;15:53;;16:01;;16:11;16:31;;16:51;17:01;;17:11;;17:31;17:51;;18:01;;18:11;18:31;;18:51;19:01;;19:11;;19:31;19:51;;20:01;;20:11;20:31;21:11;22:21;23:31;
Rosmini S.Maria Maggiore;407;06:53;;07:13;;07:28;07:48;08:13;;08:33;08:53;;09:03;;09:13;09:33;;09:53;10:03;;10:13;;10:33;10:53;;11:03;;11:13;11:33;;11:53;12:03;12:13;12:14;12:28;12:33;12:53;13:03;13:08;13:13;13:15;13:33;13:53;;14:03;;14:13;14:33;;14:53;15:03;;15:13;;15:33;15:53;15:55;;16:03;;16:13;16:33;;16:53;17:03;;17:13;;17:33;17:53;;18:03;;18:13;18:33;;18:53;19:03;;19:13;;19:33;19:53;;20:03;;20:13;20:33;21:13;22:23;23:33;
Travai Al Nuoto / Muse;444;06:55;;07:15;;07:30;07:50;08:15;;08:35;08:55;;09:05;;09:15;09:35;;09:55;10:05;;10:15;;10:35;10:55;;11:05;;11:15;11:35;;11:55;12:05;12:15;12:16;12:30;12:35;12:55;13:05;13:10;13:15;13:17;13:35;13:55;;14:05;;14:15;14:35;;14:55;15:05;;15:15;;15:35;15:55;15:57;;16:05;;16:15;16:35;;16:55;17:05;;17:15;;17:35;17:55;;18:05;;18:15;18:35;;18:55;19:05;;19:15;;19:35;19:55;;20:05;;20:15;20:35;21:15;22:25;23:35;
Piazza di Fiera;165;06:56;;07:16;;07:31;07:51;08:16;;08:36;08:56;;09:06;;09:16;09:36;;09:56;10:06;;10:16;;10:36;10:56;;11:06;;11:16;11:36;;11:56;12:06;12:16;12:17;12:31;12:36;12:56;13:06;13:11;13:16;13:18;13:36;13:56;;14:06;;14:16;14:36;;14:56;15:06;;15:16;;15:36;15:56;15:58;;16:06;;16:16;16:36;;16:56;17:06;;17:16;;17:36;17:56;;18:06;;18:16;18:36;;18:56;19:06;;19:16;;19:36;19:56;;20:06;;20:16;20:36;21:16;22:26;23:36;
S.Francesco Porta Nuova;166;06:58;;07:18;;07:33;07:53;08:18;;08:38;08:58;;09:08;;09:18;09:38;;09:58;10:08;;10:18;;10:38;10:58;;11:08;;11:18;11:38;;11:58;12:08;12:18;12:19;12:33;12:38;12:58;13:08;13:13;13:18;13:20;13:38;13:58;;14:08;;14:18;14:38;;14:58;15:08;;15:18;;15:38;15:58;16:00;;16:08;;16:18;16:38;;16:58;17:08;;17:18;;17:38;17:58;;18:08;;18:18;18:38;;18:58;19:08;;19:18;;19:38;19:58;;20:08;;20:18;20:38;21:18;22:28;23:38;
Ponte Lodovico;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13:17;;;;;;;;;;;;;;;;;;16:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
San Donà;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13:18;;;;;;;;;;;;;;;;;;16:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
