Descr.breve:;;11;
Descr.lunga:;;Spini di Gardolo - Via Brennero - P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;;;;Scolastica da Lunedì a Sabato;
Linea:;;;Linea 7;Linea G;;;;Linea G;;;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;;;Linea G;;Linea G;;;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;Linea 17/;Linea 17/;Linea 17/;
Servizio:;;
gtfs trip_id;;0004012082023091120240611;;;0004012092023091120240611;0004012202023091120240611;0004012102023091120240611;;0004012232023091120240611;0004012152023091120240611;;0004012162023091120240611;;;0004012172023091120240611;;0004012142023091120240611;;0004012262023091120240611;0004012112023091120240611;0004012242023091120240611;;0004012212023091120240611;;0004012252023091120240611;0004012182023091120240611;;0004012192023091120240611;;;0004012122023091120240611;;;0004012132023091120240611;;;0004012222023091120240611;;0004014192023091120240611;;0004014202023091120240611;;;;
smartplanner route_id;;425_12_1;;;425_12_1;425_12_1;425_12_1;;425_12_1;425_12_1;;425_12_1;;;425_12_1;;425_12_1;;425_12_1;425_12_1;425_12_1;;425_12_1;;425_12_1;425_12_1;;425_12_1;;;425_12_1;;;425_12_1;;;425_12_1;;425_12_1;;425_12_1;;;;
service_id;;0000000092023091120240611;;;0000000022023091120240611;0000000032023091120240611;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;;;;
stops;stop_id;0004012082023091120240611;;$italic;0004012092023091120240611;0004012202023091120240611;0004012102023091120240611;;0004012232023091120240611;0004012152023091120240611;;0004012162023091120240611;;$italic;0004012172023091120240611;;0004012142023091120240611;$italic;0004012262023091120240611;0004012112023091120240611;0004012242023091120240611;$italic;0004012212023091120240611;$italic;0004012252023091120240611;0004012182023091120240611;;0004012192023091120240611;$italic;$italic;0004012122023091120240611;$italic;$italic;0004012132023091120240611;$italic;$italic;0004012222023091120240611;;0004014192023091120240611;;0004014202023091120240611;;;;
Spini di Gardolo;238;06:08;;;07:03;07:20;07:48;;08:18;08:39;;09:39;;;10:39;;11:39;;12:03;12:39;13:09;;13:39;;14:09;14:39;;15:39;;;16:39;;;17:39;;;18:39;;19:39;;20:39;;;;
*Spini Loghét;2664;06:08;;;07:03;07:20;07:48;;08:18;08:39;;09:39;;;10:39;;11:39;;12:03;12:39;13:09;;13:39;;14:09;14:39;;15:39;;;16:39;;;17:39;;;18:39;;19:39;;20:39;;;;
*Spini Monaco;242;06:09;;;07:04;07:21;07:49;;08:19;08:40;;09:40;;;10:40;;11:40;;12:04;12:40;13:10;;13:40;;14:10;14:40;;15:40;;;16:40;;;17:40;;;18:40;;19:40;;20:40;;;;
Spini Klagenfurt;497;06:09;;;07:04;07:21;07:49;;08:19;08:40;;09:40;;;10:40;;11:40;;12:04;12:40;13:10;;13:40;;14:10;14:40;;15:40;;;16:40;;;17:40;;;18:40;;19:40;;20:40;;;;
Spini Linz;240;06:10;;;07:05;07:22;07:50;;08:20;08:41;;09:41;;;10:41;;11:41;;12:05;12:41;13:11;;13:41;;14:11;14:41;;15:41;;;16:41;;;17:41;;;18:41;;19:41;;20:41;;;;
Spini "Officine";493;06:11;;;07:06;07:23;07:51;;08:21;08:42;;09:42;;;10:42;;11:42;;12:06;12:42;13:12;;13:42;;14:12;14:42;;15:42;;;16:42;;;17:42;;;18:42;;19:42;;20:42;;;;
Spini "Zona Ind.Le Ftm";495;06:12;;;07:07;07:24;07:52;;08:22;08:43;;09:43;;;10:43;;11:43;;12:07;12:43;13:13;;13:43;;14:13;14:43;;15:43;;;16:43;;;17:43;;;18:43;;19:43;;20:43;;;;
