Descr.breve:;;12;
Descr.lunga:;;P.Dante - Via Ghiaie - Ravina - Romagnano;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;
Linea:;;
Servizio:;;
gtfs trip_id;;0003991502023091120240611;0003991522023091120240611;0003991512023091120240611;0003991672023091120240611;0003991532023091120240611;0003991542023091120240611;0003991682023091120240611;0004016332023091120240611;0003991792023091120240611;0003991552023091120240611;0003991692023091120240611;0004016342023091120240611;0003991802023091120240611;0003991562023091120240611;0003991702023091120240611;0004016352023091120240611;0003991812023091120240611;0003991572023091120240611;0003991712023091120240611;0004016362023091120240611;0003991822023091120240611;0003991582023091120240611;0003991722023091120240611;0004016372023091120240611;0003996442023091120240611;0003991832023091120240611;0003991592023091120240611;0003991732023091120240611;0004016432023091120240611;0003997562023091120240611;0003991602023091120240611;0003991742023091120240611;0004016442023091120240611;0003991852023091120240611;0003991612023091120240611;0003991752023091120240611;0004016452023091120240611;0003991862023091120240611;0003991622023091120240611;0003991762023091120240611;0004016462023091120240611;0003991872023091120240611;0003991632023091120240611;0003991772023091120240611;0004016472023091120240611;0003991882023091120240611;0003997552023091120240611;0003991782023091120240611;0004016482023091120240611;0003997642023091120240611;0003997612023091120240611;0003997622023091120240611;0004016492023091120240611;0003991902023091120240611;0003991662023091120240611;0004014282023091120240611;0004014252023091120240611;0004014262023091120240611;0004014272023091120240611;
smartplanner route_id;;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000032023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003991502023091120240611;0003991522023091120240611;0003991512023091120240611;0003991672023091120240611;0003991532023091120240611;0003991542023091120240611;0003991682023091120240611;0004016332023091120240611;0003991792023091120240611;0003991552023091120240611;0003991692023091120240611;0004016342023091120240611;0003991802023091120240611;0003991562023091120240611;0003991702023091120240611;0004016352023091120240611;0003991812023091120240611;0003991572023091120240611;0003991712023091120240611;0004016362023091120240611;0003991822023091120240611;0003991582023091120240611;0003991722023091120240611;0004016372023091120240611;0003996442023091120240611;0003991832023091120240611;0003991592023091120240611;0003991732023091120240611;0004016432023091120240611;0003997562023091120240611;0003991602023091120240611;0003991742023091120240611;0004016442023091120240611;0003991852023091120240611;0003991612023091120240611;0003991752023091120240611;0004016452023091120240611;0003991862023091120240611;0003991622023091120240611;0003991762023091120240611;0004016462023091120240611;0003991872023091120240611;0003991632023091120240611;0003991772023091120240611;0004016472023091120240611;0003991882023091120240611;0003997552023091120240611;0003991782023091120240611;0004016482023091120240611;0003997642023091120240611;0003997612023091120240611;0003997622023091120240611;0004016492023091120240611;0003991902023091120240611;0003991662023091120240611;0004014282023091120240611;0004014252023091120240611;0004014262023091120240611;0004014272023091120240611;
Piazza Dante "Stazione Fs";247;06:35;06:55;07:30;07:55;08:15;08:45;09:05;09:15;09:25;09:45;10:05;10:15;10:25;10:45;11:05;11:15;11:25;11:45;12:05;12:15;12:25;12:45;13:05;13:15;;13:30;13:45;14:05;14:15;14:25;14:45;15:05;15:15;15:25;15:45;16:05;16:15;16:25;16:45;17:05;17:15;17:25;17:45;18:05;18:15;18:25;18:45;19:05;19:15;19:25;19:45;20:05;20:15;20:25;20:45;21:15;21:55;22:55;23:55;
Rosmini S.Maria Maggiore;407;06:37;06:57;07:32;07:57;08:17;08:47;09:07;09:17;09:27;09:47;10:07;10:17;10:27;10:47;11:07;11:17;11:27;11:47;12:07;12:17;12:27;12:47;13:07;13:17;;13:32;13:47;14:07;14:17;14:27;14:47;15:07;15:17;15:27;15:47;16:07;16:17;16:27;16:47;17:07;17:17;17:27;17:47;18:07;18:17;18:27;18:47;19:07;19:17;19:27;19:47;20:07;20:17;20:27;20:47;21:17;21:57;22:57;23:57;
Rosmini "Cimitero" / Muse;404;06:39;06:59;07:34;07:59;08:19;08:49;09:09;09:19;09:29;09:49;10:09;10:19;10:29;10:49;11:09;11:19;11:29;11:49;12:09;12:19;12:29;12:49;13:09;13:19;;13:34;13:49;14:09;14:19;14:29;14:49;15:09;15:19;15:29;15:49;16:09;16:19;16:29;16:49;17:09;17:19;17:29;17:49;18:09;18:19;18:29;18:49;19:09;19:19;19:29;19:49;20:09;20:19;20:29;20:49;21:19;21:59;22:59;23:59;
Giusti Pascoli;348;06:40;07:00;07:35;08:00;08:20;08:50;09:10;09:20;09:30;09:50;10:10;10:20;10:30;10:50;11:10;11:20;11:30;11:50;12:10;12:20;12:30;12:50;13:10;13:20;;13:35;13:50;14:10;14:20;14:30;14:50;15:10;15:20;15:30;15:50;16:10;16:20;16:30;16:50;17:10;17:20;17:30;17:50;18:10;18:20;18:30;18:50;19:10;19:20;19:30;19:50;20:10;20:20;20:30;20:50;21:20;22:00;23:00;24:00;
S.Francesco Porta Nuova;410;;;;;;;;;;;;;;;;;;;;;;;;;13:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Piave "Parco S.Chiara";402;;;;;;;;;;;;;;;;;;;;;;;;;13:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*3 Nov. "Ponte Cavalleggeri";524;;;;;;;;;;;;;;;;;;;;;;;;;13:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
