Descr.breve:;;15;
Descr.lunga:;;Spini di Gardolo - Interporto - Piazza Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004010752023091120240611;0004010762023091120240611;0004012972023091120240611;0004010772023091120240611;0004010782023091120240611;0004010792023091120240611;0004010802023091120240611;0004010812023091120240611;0004010822023091120240611;0004010832023091120240611;0004010842023091120240611;0004010852023091120240611;0004010862023091120240611;0004012932023091120240611;0004012942023091120240611;
smartplanner route_id;;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;15R;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0004010752023091120240611;0004010762023091120240611;0004012972023091120240611;0004010772023091120240611;0004010782023091120240611;0004010792023091120240611;0004010802023091120240611;0004010812023091120240611;0004010822023091120240611;0004010832023091120240611;0004010842023091120240611;0004010852023091120240611;0004010862023091120240611;0004012932023091120240611;0004012942023091120240611;
Spini "Casa Circondariale";2790;07:05;08:05;08:30;09:05;10:05;11:05;12:05;13:05;14:05;15:05;16:05;17:05;18:05;19:05;20:05;
Spini Varsavia;2784;07:06;08:06;08:31;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;
Spini Praga;2449;07:06;08:06;08:31;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;
Spini "Pal. Giano";2783;07:07;08:07;08:32;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;
Spini Masadori;2787;07:07;08:07;08:32;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;
Spini Linz;239;07:08;08:08;08:33;09:08;10:08;11:08;12:08;13:08;14:08;15:08;16:08;17:08;18:08;19:08;20:08;
Spini Klagenfurt;496;07:09;08:09;08:34;09:09;10:09;11:09;12:09;13:09;14:09;15:09;16:09;17:09;18:09;19:09;20:09;
Spini Bregenz;2788;07:10;08:10;08:35;09:10;10:10;11:10;12:10;13:10;14:10;15:10;16:10;17:10;18:10;19:10;20:10;
Interporto "Sait";2828;07:11;08:11;08:36;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;
Interporto "Interbrennero";2792;07:11;08:11;08:36;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;
Interporto "Fercam";2797;07:12;08:12;08:37;09:12;10:12;11:12;12:12;13:12;14:12;15:12;16:12;17:12;18:12;19:12;20:12;
Interporto "Logistica 2";2796;07:13;08:13;08:38;09:13;10:13;11:13;12:13;13:13;14:13;15:13;16:13;17:13;18:13;19:13;20:13;
Innsbruck "Trentino Trasporti";2793;07:14;08:14;08:39;09:14;10:14;11:14;12:14;13:14;14:14;15:14;16:14;17:14;18:14;19:14;20:14;
Brennero Marconi;295;07:20;08:20;08:45;09:20;10:20;11:20;12:20;13:20;14:20;15:20;16:20;17:20;18:20;19:20;20:20;
Brennero "Ex Scalo Filzi";298;07:21;08:21;08:46;09:21;10:21;11:21;12:21;13:21;14:21;15:21;16:21;17:21;18:21;19:21;20:21;
Segantini Centa;420;07:23;08:23;08:48;09:23;10:23;11:23;12:23;13:23;14:23;15:23;16:23;17:23;18:23;19:23;20:23;
Segantini Dogana;421;07:23;08:23;08:48;09:23;10:23;11:23;12:23;13:23;14:23;15:23;16:23;17:23;18:23;19:23;20:23;
Piazza Dante "Dogana";2189;07:24;08:24;08:49;09:24;10:24;11:24;12:24;13:24;14:24;15:24;16:24;17:24;18:24;19:24;20:24;
;;;;;;;;;;;;;;;;
