Descr.breve:;;16;
Descr.lunga:;;Centochiavi-Martignano-Cognola-Povo;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;
Linea:;;;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;
Servizio:;;
gtfs trip_id;;0003996912023091120240611;;;;;;;;;
smartplanner route_id;;16A;;;;;;;;;
service_id;;0000000092023091120240611;;;;;;;;;
stops;stop_id;0003996912023091120240611;;;;;;;;;
trener "3 torri pat";;;;;;;;;;;
Guardini "Centochiavi";2383;07:50;;;;;;;;;
Guardini Gilli;357;07:51;;;;;;;;;
Zambra "Top Center";2384;07:52;;;;;;;;;
Zambra "Ist. D'arte Vittoria";2385;07:52;;;;;;;;;
Martignano Capitel;279;07:57;;;;;;;;;
Martignano Castori;327;07:58;;;;;;;;;
Martignano Cesarini;308;07:59;;;;;;;;;
Martignano "Chiesa";103;08:00;;;;;;;;;
Martignano Formigheta;101;08:01;;;;;;;;;
Sp 131 "Maso Pradiscola";104;08:02;;;;;;;;;
Zell Marnighe;490;08:03;;;;;;;;;
Cognola "Chiesa";2505;08:04;;;;;;;;;
Cognola S.Vito;25;08:05;;;;;;;;;
San Vito;27;08:06;;;;;;;;;
San Donà;219;08:07;;;;;;;;;
Mesiano "Fac. Ingegneria";145;08:09;;;;;;;;;
Mesiano "Stazione Fs";147;08:10;;;;;;;;;
Povo Valoni;149;08:11;;;;;;;;;
Povo Pantè;2490;08:12;;;;;;;;;
Povo Piazza Manci;186;08:13;;;;;;;;;
Povo S.Agata;185;08:13;;;;;;;;;
Povo "Polo Sociale" Cap.;2549;08:14;;;;;;;;;
;;;;;;;;;;
