Descr.breve:;;16;
Descr.lunga:;;Povo-Cognola-Martignano-Centochiavi;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;
Linea:;;;;;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;<b>P</b>;
Servizio:;;
gtfs trip_id;;0004020142023091120240611;0004010942023091120240611;0004010932023091120240611;;;;;;;;
smartplanner route_id;;16R;16R;16R;;;;;;;;
service_id;;0000000092023091120240611;0000000092023091120240611;0000000092023091120240611;;;;;;;;
stops;stop_id;0004020142023091120240611;0004010942023091120240611;0004010932023091120240611;;;;;;;;
Povo "Polo Sociale" Cap.;2549;07:24;07:50;08:20;;;;;;;;
Povo Piazza Manci;187;07:25;07:51;08:21;;;;;;;;
Povo Pantè;2820;07:26;07:52;08:22;;;;;;;;
Povo Valoni;150;07:27;07:53;08:23;;;;;;;;
Mesiano "Stazione Fs";148;07:28;07:54;08:24;;;;;;;;
Mesiano "Fac. Ingegneria";146;07:28;07:54;08:24;;;;;;;;
Ponte Lodovico;175;07:29;07:55;08:25;;;;;;;;
San Donà;222;07:30;07:56;08:26;;;;;;;;
San Donà "Chiesa";220;07:31;07:57;08:27;;;;;;;;
San Vito;24;07:32;07:58;08:28;;;;;;;;
Cognola S.Vito;26;07:34;08:00;08:30;;;;;;;;
Cognola "Centro Civico";21;07:35;08:01;08:31;;;;;;;;
Zell Marnighe;491;07:36;08:02;08:32;;;;;;;;
Sp 131 "Maso Pradiscola";105;07:37;08:03;08:33;;;;;;;;
Martignano Formigheta;102;07:38;08:04;08:34;;;;;;;;
Martignano Piazza Canopi;108;07:39;08:05;08:35;;;;;;;;
Martignano Cesarini;309;07:40;08:06;08:36;;;;;;;;
Martignano Castori;328;07:41;08:07;08:37;;;;;;;;
Martignano Capitel;280;07:42;08:08;08:38;;;;;;;;
Trener "3 Torri Pat";2380;07:48;08:14;08:44;;;;;;;;
Guardini "Centochiavi";2383;07:48;08:14;08:44;;;;;;;;
Guardini Gilli;357;;08:15;08:45;;;;;;;;
;;;;;;;;;;;
