Descr.breve:;;17;
Descr.lunga:;;Piazza Dante - Via Bolzano - Lamar - Lavis;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Sabato;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 17/;Linea 17/;Linea 17/;
Servizio:;;
gtfs trip_id;;0003988352023091120240611;0003988362023091120240611;0004010722023091120240611;0003991202023091120240611;0003990522023091120240611;0003994062023091120240611;0003994042023091120240611;0003994312023091120240611;0003994072023091120240611;0004016012023091120240611;0003994052023091120240611;0003994322023091120240611;0003994082023091120240611;0004016022023091120240611;0003994202023091120240611;0003994332023091120240611;0003994092023091120240611;0004016032023091120240611;0003994212023091120240611;0003994342023091120240611;0003994102023091120240611;0004016042023091120240611;0003994222023091120240611;0003994352023091120240611;0003994112023091120240611;0004016052023091120240611;0003994232023091120240611;0003994362023091120240611;0003994122023091120240611;0004016062023091120240611;0003994242023091120240611;0003994372023091120240611;0003994132023091120240611;0004016072023091120240611;0003994252023091120240611;0003994382023091120240611;0003994142023091120240611;0004016082023091120240611;0003994262023091120240611;0003994392023091120240611;0003994152023091120240611;0004016092023091120240611;0003994272023091120240611;0003994402023091120240611;0003994162023091120240611;0004016102023091120240611;0003994282023091120240611;0003994412023091120240611;0003994172023091120240611;0004016112023091120240611;0003994292023091120240611;0003994422023091120240611;0003994182023091120240611;0004016122023091120240611;0003994302023091120240611;0003994432023091120240611;0003994192023091120240611;0004016132023091120240611;0004014312023091120240611;0003992012023091120240611;0004014372023091120240611;0004014332023091120240611;0004014382023091120240611;0004014352023091120240611;
smartplanner route_id;;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;17A;
service_id;;0000000022023091120240611;0000000032023091120240611;0000000022023091120240611;0000000032023091120240611;0000000032023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003988352023091120240611$italic;0003988362023091120240611$italic;0004010722023091120240611$italic;0003991202023091120240611$italic;0003990522023091120240611$italic;0003994062023091120240611$italic;0003994042023091120240611$italic;0003994312023091120240611$italic;0003994072023091120240611$italic;0004016012023091120240611$italic;0003994052023091120240611$italic;0003994322023091120240611$italic;0003994082023091120240611$italic;0004016022023091120240611$italic;0003994202023091120240611$italic;0003994332023091120240611$italic;0003994092023091120240611$italic;0004016032023091120240611$italic;0003994212023091120240611$italic;0003994342023091120240611$italic;0003994102023091120240611$italic;0004016042023091120240611$italic;0003994222023091120240611$italic;0003994352023091120240611$italic;0003994112023091120240611$italic;0004016052023091120240611$italic;0003994232023091120240611$italic;0003994362023091120240611$italic;0003994122023091120240611$italic;0004016062023091120240611$italic;0003994242023091120240611$italic;0003994372023091120240611$italic;0003994132023091120240611$italic;0004016072023091120240611$italic;0003994252023091120240611$italic;0003994382023091120240611$italic;0003994142023091120240611$italic;0004016082023091120240611$italic;0003994262023091120240611$italic;0003994392023091120240611$italic;0003994152023091120240611$italic;0004016092023091120240611$italic;0003994272023091120240611$italic;0003994402023091120240611$italic;0003994162023091120240611$italic;0004016102023091120240611$italic;0003994282023091120240611$italic;0003994412023091120240611$italic;0003994172023091120240611$italic;0004016112023091120240611$italic;0003994292023091120240611$italic;0003994422023091120240611$italic;0003994182023091120240611$italic;0004016122023091120240611$italic;0003994302023091120240611$italic;0003994432023091120240611$italic;0003994192023091120240611$italic;0004016132023091120240611$italic;0004014312023091120240611$italic;0003992012023091120240611$italic;0004014372023091120240611$italic$GTFS_RS_Name=17;0004014332023091120240611$italic$GTFS_RS_Name=17;0004014382023091120240611$italic$GTFS_RS_Name=17;0004014352023091120240611;
Piazza Dante "Palazzo Pat";163;;;;;;06:50;07:15;07:35;07:55;08:05;08:15;08:35;08:55;09:05;09:15;09:35;09:55;10:05;10:15;10:35;10:55;11:05;11:15;11:35;11:55;12:05;12:15;12:35;12:55;13:05;13:15;13:35;13:55;14:05;14:15;14:35;14:55;15:05;15:15;15:35;15:55;16:05;16:15;16:35;16:55;17:05;17:15;17:35;17:55;18:05;18:15;18:35;18:55;19:05;19:15;19:35;19:55;20:05;20:15;20:35;21:05;21:35;22:35;23:35;
Gazzoletti Piazza Dante;2680;;;;;;06:50;07:15;07:35;07:55;08:05;08:15;08:35;08:55;09:05;09:15;09:35;09:55;10:05;10:15;10:35;10:55;11:05;11:15;11:35;11:55;12:05;12:15;12:35;12:55;13:05;13:15;13:35;13:55;14:05;14:15;14:35;14:55;15:05;15:15;15:35;15:55;16:05;16:15;16:35;16:55;17:05;17:15;17:35;17:55;18:05;18:15;18:35;18:55;19:05;19:15;19:35;19:55;20:05;20:15;20:35;21:05;21:35;22:35;23:35;
Largo Sauro;76;;;;;;06:52;07:17;07:37;07:57;08:07;08:17;08:37;08:57;09:07;09:17;09:37;09:57;10:07;10:17;10:37;10:57;11:07;11:17;11:37;11:57;12:07;12:17;12:37;12:57;13:07;13:17;13:37;13:57;14:07;14:17;14:37;14:57;15:07;15:17;15:37;15:57;16:07;16:17;16:37;16:57;17:07;17:17;17:37;17:57;18:07;18:17;18:37;18:57;19:07;19:17;19:37;19:57;20:07;20:17;20:37;21:07;21:37;22:37;23:37;
Brennero Malvasia;294;;;;;;06:53;07:18;07:38;07:58;08:08;08:18;08:38;08:58;09:08;09:18;09:38;09:58;10:08;10:18;10:38;10:58;11:08;11:18;11:38;11:58;12:08;12:18;12:38;12:58;13:08;13:18;13:38;13:58;14:08;14:18;14:38;14:58;15:08;15:18;15:38;15:58;16:08;16:18;16:38;16:58;17:08;17:18;17:38;17:58;18:08;18:18;18:38;18:58;19:08;19:18;19:38;19:58;20:08;20:18;20:38;21:08;21:38;22:38;23:38;
Brennero "Ex Scalo Filzi";297;;;;;;06:54;07:19;07:39;07:59;08:09;08:19;08:39;08:59;09:09;09:19;09:39;09:59;10:09;10:19;10:39;10:59;11:09;11:19;11:39;11:59;12:09;12:19;12:39;12:59;13:09;13:19;13:39;13:59;14:09;14:19;14:39;14:59;15:09;15:19;15:39;15:59;16:09;16:19;16:39;16:59;17:09;17:19;17:39;17:59;18:09;18:19;18:39;18:59;19:09;19:19;19:39;19:59;20:09;20:19;20:39;21:09;21:39;22:39;23:39;
Brennero Marconi;293;;;;;;06:56;07:21;07:41;08:01;08:11;08:21;08:41;09:01;09:11;09:21;09:41;10:01;10:11;10:21;10:41;11:01;11:11;11:21;11:41;12:01;12:11;12:21;12:41;13:01;13:11;13:21;13:41;14:01;14:11;14:21;14:41;15:01;15:11;15:21;15:41;16:01;16:11;16:21;16:41;17:01;17:11;17:21;17:41;18:01;18:11;18:21;18:41;19:01;19:11;19:21;19:41;20:01;20:11;20:21;20:41;21:11;21:41;22:41;23:41;
*Marconi Solteri;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21:42;22:42;23:42;
