route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
607,0000001442023061020230910,0003862602023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862612023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862622023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862632023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862642023061020230910,Sorni,0,,
607,0000001462023061020230910,0003862652023061020230910,Sorni,0,,
607,0000001462023061020230910,0003862662023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862672023061020230910,Sorni,0,,
607,0000001442023061020230910,0003862682023061020230910,Pressano Piazza,0,,
607,0000001442023061020230910,0003862692023061020230910,Pressano Piazza,0,,
607,0000001442023061020230910,0003862702023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862712023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862722023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862732023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862742023061020230910,Lavis Via Nazionale,1,,
607,0000001462023061020230910,0003862752023061020230910,Lavis Via Nazionale,1,,
607,0000001462023061020230910,0003862762023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862772023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862782023061020230910,Lavis Via Nazionale,1,,
607,0000001442023061020230910,0003862792023061020230910,Lavis Via Nazionale,1,,
610,0000001462023061020230910,0003862802023061020230910,Lavis "Stazione Fs",0,,
610,0000001462023061020230910,0003862812023061020230910,Lavis "Stazione Fs",0,,
610,0000001462023061020230910,0003862822023061020230910,Lavis "Stazione Fs",0,,
610,0000001462023061020230910,0003862832023061020230910,Lavis "Stazione Fs",0,,
610,0000001462023061020230910,0003862842023061020230910,Lavis Via Nazionale,1,,
610,0000001462023061020230910,0003862852023061020230910,Lavis Via Nazionale,1,,
610,0000001462023061020230910,0003862862023061020230910,Lavis Via Nazionale,1,,
610,0000001462023061020230910,0003862872023061020230910,Lavis Via Nazionale,1,,
612,0000001462023061020230910,0003862882023061020230910,Lavis Via Nazionale,0,,
612,0000001462023061020230910,0003862892023061020230910,Lavis Via Nazionale,0,,
