Descr.breve:;2
Descr.lunga:;Vela-Stazione-Osp.S.Chiara-Regione-Vela
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FESTIVO
Frequenza:
Linea:;;;;;;;;;;;;;;;
Servizio:
VELA  centro;07.46;08.46;09.46;10.46;11.46;12.46;13.46;14.46;15.46;16.46;17.46;18.46;19.46;20.46;21.46
Dos Trento  "Centro Sportivo";07.48;08.48;09.48;10.48;11.48;12.48;13.48;14.48;15.48;16.48;17.48;18.48;19.48;20.48;21.48
Brescia  Divisioni Alpine;07.50;08.50;09.50;10.50;11.50;12.50;13.50;14.50;15.50;16.50;17.50;18.50;19.50;20.50;21.50
Brescia  "Piedicastello";07.50;08.50;09.50;10.50;11.50;12.50;13.50;14.50;15.50;16.50;17.50;18.50;19.50;20.50;21.50
Dos Trento  Apuleio;07.51;08.51;09.51;10.51;11.51;12.51;13.51;14.51;15.51;16.51;17.51;18.51;19.51;20.51;21.51
F.lli Fontana  Gen. Cantore;07.55;08.55;09.55;10.55;11.55;12.55;13.55;14.55;15.55;16.55;17.55;18.55;19.55;20.55;21.55
Segantini  Centa;07.57;08.57;09.57;10.57;11.57;12.57;13.57;14.57;15.57;16.57;17.57;18.57;19.57;20.57;21.57
Piazza Dante  "Stazione FS";07.58;08.58;09.58;10.58;11.58;12.58;13.58;14.58;15.58;16.58;17.58;18.58;19.58;20.58;21.58
Rosmini  S.Maria Maggiore;08.00;09.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00
Rosmini  "Cimitero" / MUSE;08.02;09.02;10.02;11.02;12.02;13.02;14.02;15.02;16.02;17.02;18.02;19.02;20.02;21.02;22.02
Giusti  Pascoli;08.03;09.03;10.03;11.03;12.03;13.03;14.03;15.03;16.03;17.03;18.03;19.03;20.03;21.03;22.03
Vittorio Veneto  "S.Giuseppe";08.05;09.05;10.05;11.05;12.05;13.05;14.05;15.05;16.05;17.05;18.05;19.05;20.05;21.05;22.05
Milano  a Prato;08.07;09.07;10.07;11.07;12.07;13.07;14.07;15.07;16.07;17.07;18.07;19.07;20.07;21.07;22.07
Bolghera  "S.Antonio";08.10;09.10;10.10;11.10;12.10;13.10;14.10;15.10;16.10;17.10;18.10;19.10;20.10;21.10;22.10
Gocciadoro  "Arcate";08.13;09.13;10.13;11.13;12.13;13.13;14.13;15.13;16.13;17.13;18.13;19.13;20.13;21.13;22.13
Gerola  "Ospedale S.Chiara";08.14;09.14;10.14;11.14;12.14;13.14;14.14;15.14;16.14;17.14;18.14;19.14;20.14;21.14;22.14
Adamello  Gorizia;08.15;09.15;10.15;11.15;12.15;13.15;14.15;15.15;16.15;17.15;18.15;19.15;20.15;21.15;22.15
Milano  a Prato;08.17;09.17;10.17;11.17;12.17;13.17;14.17;15.17;16.17;17.17;18.17;19.17;20.17;21.17;22.17
F.lli Perini  3 Novembre;08.19;09.19;10.19;11.19;12.19;13.19;14.19;15.19;16.19;17.19;18.19;19.19;20.19;21.19;22.19
Bezzi  Filzi;08.21;09.21;10.21;11.21;12.21;13.21;14.21;15.21;16.21;17.21;18.21;19.21;20.21;21.21;22.21
Giusti  "Arcivescovile";08.22;09.22;10.22;11.22;12.22;13.22;14.22;15.22;16.22;17.22;18.22;19.22;20.22;21.22;22.22
Rosmini  "Cimitero" / MUSE;08.23;09.23;10.23;11.23;12.23;13.23;14.23;15.23;16.23;17.23;18.23;19.23;20.23;21.23;22.23
Rosmini  S.Maria Maggiore;08.25;09.25;10.25;11.25;12.25;13.25;14.25;15.25;16.25;17.25;18.25;19.25;20.25;21.25;22.25
Piazza Dante  "Pal. Regione";08.28;09.28;10.28;11.28;12.28;13.28;14.28;15.28;16.28;17.28;18.28;19.28;20.28;21.28;22.28
Piazza Centa;08.30;09.30;10.30;11.30;12.30;13.30;14.30;15.30;16.30;17.30;18.30;19.30;20.30;21.30;22.30
F.lli Fontana  Gen. Cantore;08.31;09.31;10.31;11.31;12.31;13.31;14.31;15.31;16.31;17.31;18.31;19.31;20.31;21.31;22.31
Apuleio  "Ponte S.Giorgio";08.32;09.32;10.32;11.32;12.32;13.32;14.32;15.32;16.32;17.32;18.32;19.32;20.32;21.32;22.32
Brescia  "Piedicastello";08.34;09.34;10.34;11.34;12.34;13.34;14.34;15.34;16.34;17.34;18.34;19.34;20.34;21.34;22.34
Brescia  Divisioni Alpine;08.34;09.34;10.34;11.34;12.34;13.34;14.34;15.34;16.34;17.34;18.34;19.34;20.34;21.34;22.34
VELA  centro;08.37;09.37;10.37;11.37;12.37;13.37;14.37;15.37;16.37;17.37;18.37;19.37;20.37;21.37;22.37
