Descr.breve:;3
Descr.lunga:;Villazzano 3 - P.Dante - Gardolo - Cortesano
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;;;Scolastica da Lunedì a Venerdì;;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Feriale da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì
Linea:;Linea 4;Linea 3/;Linea 3/;Linea 3/;Linea 3/;Linea 14;;Linea 3/;;;;;;;Linea 3/;;;;;;Linea 3/;;;;Linea 3/;;;Linea 3/;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;Linea 3/;;Linea 3/;Linea 3/;;;;;Linea 3/;;Linea 3/;Linea 3/;;;;;Linea 3/;;Linea 3/;;;Linea 3/;Linea 3/;;;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;;;Linea 3/;Linea 3/;;;;Linea 3/;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;;Linea 3/;Linea 3/;;;Linea 3/;Linea 3/;;Linea 3/;Linea 3/;;;;;;;;;;
Servizio:
SS 349  Pozzata;;;;;06.33;;;;07.13;;;;07.23
SAN ROCCO  Piazza;;;;;06.34;;;;07.14;;;;07.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.00
Conci  "Villazzano 3";05.04;05.33;05.57;06.22;06.37;;06.50;07.07;07.17;;07.22;;07.27;;07.37;07.42;07.47;07.52;;07.57;08.07;08.12;;08.22;08.37;08.42;08.52;09.02;09.07;09.22;09.37;09.42;09.52;10.02;10.07;10.22;10.22;10.37;10.42;10.52;11.02;11.07;11.22;11.40;11.42;;11.52;12.02;;12.07;12.22;12.22;12.37;12.42;;12.52;13.03;13.02;13.05;13.07;13.22;13.27;13.37;13.42;13.52;14.02;14.07;14.22;14.22;14.37;14.42;14.52;15.02;15.07;15.22;15.37;15.42;15.52;16.02;16.09;;16.22;16.22;16.37;16.42;16.50;16.52;17.02;17.07;17.22;17.37;17.42;17.52;18.02;18.07;18.22;18.22;18.37;18.42;18.52;19.02;19.07;19.22;19.37;19.42;19.52;20.02;20.07;20.22;20.52;21.20;21.50;22.20;22.50;23.20
Bettini  "Madonna Bianca";05.07;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;  |  ;;  |  ;;  |  ;;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;21.23;21.53;22.23;22.53;23.23
Menguzzato  "Centro civico";05.09;05.36;06.00;06.25;06.40;;06.53;07.10;07.20;;07.25;;07.30;;07.40;07.45;07.50;07.55;;08.00;08.10;08.15;;08.25;08.40;08.45;08.55;09.05;09.10;09.25;09.40;09.45;09.55;10.05;10.10;10.25;10.25;10.40;10.45;10.55;11.05;11.10;11.25;11.43;11.45;;11.55;12.05;;12.10;12.25;12.25;12.40;12.45;;12.55;13.06;13.05;13.08;13.10;13.25;13.30;13.40;13.45;13.55;14.05;14.10;14.25;14.25;14.40;14.45;14.55;15.05;15.10;15.25;15.40;15.45;15.55;16.05;16.12;;16.25;16.25;16.40;16.45;16.53;16.55;17.05;17.10;17.25;17.40;17.45;17.55;18.05;18.10;18.25;18.25;18.40;18.45;18.55;19.05;19.10;19.25;19.40;19.45;19.55;20.05;20.10;20.25;20.55;21.25;21.55;22.25;22.55;23.25
Verona  "Big Center";;05.37;06.01;06.26;06.41;;06.54;07.11;07.21;07.24;07.26;;07.31;07.35;07.41;07.46;07.51;07.56;;08.01;08.11;08.16;;08.26;08.41;08.46;08.56;09.06;09.11;09.26;09.41;09.46;09.56;10.06;10.11;10.26;10.26;10.41;10.46;10.56;11.06;11.11;11.26;11.44;11.46;;11.56;12.06;;12.11;12.26;12.26;12.41;12.46;;12.56;13.07;13.06;13.09;13.11;13.26;13.31;13.41;13.46;13.56;14.06;14.11;14.26;14.26;14.41;14.46;14.56;15.06;15.11;15.26;15.41;15.46;15.56;16.06;16.13;;16.26;16.26;16.41;16.46;16.54;16.56;17.06;17.11;17.26;17.41;17.46;17.56;18.06;18.11;18.26;18.26;18.41;18.46;18.56;19.06;19.11;19.26;19.41;19.46;19.56;20.06;20.11;20.26;20.56;21.26;21.56;22.26;22.56;23.26
Verona  "S.Bartolameo";;05.39;06.03;06.28;06.43;;06.56;07.13;07.23;07.26;07.28;;07.33;07.37;07.43;07.48;07.53;07.58;;08.03;08.13;08.18;;08.28;08.43;08.48;08.58;09.08;09.13;09.28;09.43;09.48;09.58;10.08;10.13;10.28;10.28;10.43;10.48;10.58;11.08;11.13;11.28;11.46;11.48;;11.58;12.08;12.12;12.13;12.28;12.28;12.43;12.48;;12.58;13.09;13.08;13.11;13.13;13.28;13.33;13.43;13.48;13.58;14.08;14.13;14.28;14.28;14.43;14.48;14.58;15.08;15.13;15.28;15.43;15.48;15.58;16.08;16.15;16.17;16.28;16.28;16.43;16.48;16.56;16.58;17.08;17.13;17.28;17.43;17.48;17.58;18.08;18.13;18.28;18.28;18.43;18.48;18.58;19.08;19.13;19.28;19.43;19.48;19.58;20.08;20.13;20.28;20.58;21.28;21.58;22.28;22.58;23.28
Verona  Fogazzaro;;05.40;06.04;06.29;06.44;;06.57;07.14;07.24;07.27;07.29;;07.34;07.38;07.44;07.49;07.54;07.59;;08.04;08.14;08.19;;08.29;08.44;08.49;08.59;09.09;09.14;09.29;09.44;09.49;09.59;10.09;10.14;10.29;10.29;10.44;10.49;10.59;11.09;11.14;11.29;11.47;11.49;;11.59;12.09;12.13;12.14;12.29;12.29;12.44;12.49;;12.59;13.10;13.09;13.12;13.14;13.29;13.34;13.44;13.49;13.59;14.09;14.14;14.29;14.29;14.44;14.49;14.59;15.09;15.14;15.29;15.44;15.49;15.59;16.09;16.16;16.18;16.29;16.29;16.44;16.49;16.57;16.59;17.09;17.14;17.29;17.44;17.49;17.59;18.09;18.14;18.29;18.29;18.44;18.49;18.59;19.09;19.14;19.29;19.44;19.49;19.59;20.09;20.14;20.29;20.59;21.29;21.59;22.29;22.59;23.29
3 Nov.  "Ponte Cavalleggeri";;05.42;06.06;06.31;06.46;;06.59;07.16;07.26;07.29;07.31;;07.36;07.40;07.46;07.51;07.56;08.01;;08.06;08.16;08.21;;08.31;08.46;08.51;09.01;09.11;09.16;09.31;09.46;09.51;10.01;10.11;10.16;10.31;10.31;10.46;10.51;11.01;11.11;11.16;11.31;11.49;11.51;;12.01;12.11;12.15;12.16;12.31;12.31;12.46;12.51;;13.01;13.12;13.11;13.14;13.16;13.31;13.36;13.46;13.51;14.01;14.11;14.16;14.31;14.31;14.46;14.51;15.01;15.11;15.16;15.31;15.46;15.51;16.01;16.11;16.18;16.20;16.31;16.31;16.46;16.51;16.59;17.01;17.11;17.16;17.31;17.46;17.51;18.01;18.11;18.16;18.31;18.31;18.46;18.51;19.01;19.11;19.16;19.31;19.46;19.51;20.01;20.11;20.16;20.31;21.01;21.31;22.01;22.31;23.01;23.31
3 Nov.  "Centro S.Chiara";;05.44;06.08;06.33;06.48;;07.01;07.18;07.28;07.31;07.33;;07.38;07.42;07.48;07.53;07.58;08.03;;08.08;08.18;08.23;;08.33;08.48;08.53;09.03;09.13;09.18;09.33;09.48;09.53;10.03;10.13;10.18;10.33;10.33;10.48;10.53;11.03;11.13;11.18;11.33;11.51;11.53;;12.03;12.13;12.17;12.18;12.33;12.33;12.48;12.53;;13.03;13.14;13.13;13.16;13.18;13.33;13.38;13.48;13.53;14.03;14.13;14.18;14.33;14.33;14.48;14.53;15.03;15.13;15.18;15.33;15.48;15.53;16.03;16.13;16.20;16.22;16.33;16.33;16.48;16.53;17.01;17.03;17.13;17.18;17.33;17.48;17.53;18.03;18.13;18.18;18.33;18.33;18.48;18.53;19.03;19.13;19.18;19.33;19.48;19.53;20.03;20.13;20.18;20.33;21.03;21.33;22.03;22.33;23.03;23.33
Piazza di Fiera;;05.45;06.09;06.34;06.49;;07.02;07.19;07.29;07.32;07.34;;07.39;07.43;07.49;07.54;07.59;08.04;;08.09;08.19;08.24;;08.34;08.49;08.54;09.04;09.14;09.19;09.34;09.49;09.54;10.04;10.14;10.19;10.34;10.34;10.49;10.54;11.04;11.14;11.19;11.34;11.52;11.54;;12.04;12.14;12.18;12.19;12.34;12.34;12.49;12.54;;13.04;13.15;13.14;13.17;13.19;13.34;13.39;13.49;13.54;14.04;14.14;14.19;14.34;14.34;14.49;14.54;15.04;15.14;15.19;15.34;15.49;15.54;16.04;16.14;16.21;16.23;16.34;16.34;16.49;16.54;17.02;17.04;17.14;17.19;17.34;17.49;17.54;18.04;18.14;18.19;18.34;18.34;18.49;18.54;19.04;19.14;19.19;19.34;19.49;19.54;20.04;20.14;20.19;20.34;21.04;21.34;22.04;22.34;23.04;23.34
S.Francesco  Porta Nuova;;05.47;06.11;06.36;06.51;;07.04;07.21;07.31;07.34;07.36;;07.41;07.45;07.51;07.56;08.01;08.06;;08.11;08.21;08.26;;08.36;08.51;08.56;09.06;09.16;09.21;09.36;09.51;09.56;10.06;10.16;10.21;10.36;10.36;10.51;10.56;11.06;11.16;11.21;11.36;11.54;11.56;;12.06;12.16;12.20;12.21;12.36;12.36;12.51;12.56;;13.06;13.17;13.16;13.19;13.21;13.36;13.41;13.51;13.56;14.06;14.16;14.21;14.36;14.36;14.51;14.56;15.06;15.16;15.21;15.36;15.51;15.56;16.06;16.16;16.23;16.25;16.36;16.36;16.51;16.56;17.04;17.06;17.16;17.21;17.36;17.51;17.56;18.06;18.16;18.21;18.36;18.36;18.51;18.56;19.06;19.16;19.21;19.36;19.51;19.56;20.06;20.16;20.21;20.36;21.06;21.36;22.06;22.36;23.06;23.36
