Descr.breve:;5
Descr.lunga:;Piazza Dante - P.Fiera - Povo - Oltrecastello
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;;;;;;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Non scol. da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Non scol. da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Feriale da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì
Linea:;;;;;Linea CM;;;;;;Linea CM;Linea 5/;Linea 5/;;Linea 5/;Linea 5/;Linea 5/;Linea 5/;;Linea 5/;;Linea 5/;Linea 5/;Linea 5/;;;Linea 5/;;Linea 5/;;Linea 5/;;Linea 5/;Linea 5/;;;Linea 5/;;Linea 5/;;Linea CM;;Linea CM;;;;;;;;;Linea CM;;;;;;;Linea CM;;;;;;;;;;;;;;Linea CM;;;;;Linea CM;;;Linea CM;;;;;;Linea CM;;;Linea CM;;;;Linea CM;;;;;;;;;;;;
Servizio:
Piazza Dante  "Stazione FS";05.33;06.26;06.46;07.06;;07.19;07.29;07.38;07.44;07.51;;07.54;;07.59;08.08;08.09;08.11;08.12;08.13;08.19;08.29;08.34;08.39;08.44;08.49;08.59;08.59;09.09;09.19;09.29;09.34;09.49;09.54;09.59;09.59;10.09;10.19;10.29;10.39;10.49;;10.59;;11.09;11.29;11.49;11.59;12.07;12.09;12.26;12.29;;12.49;12.59;13.06;13.09;13.17;13.29;;13.46;13.49;13.59;14.09;14.29;14.49;14.59;15.09;15.29;15.49;15.59;15.59;16.09;;16.19;16.29;16.39;16.49;;16.59;16.59;;17.09;17.19;17.29;17.39;17.49;;17.59;17.59;;18.09;18.19;18.29;;18.39;18.49;18.59;19.09;19.29;19.49;19.59;20.09;20.35;21.35;22.35;23.35
Rosmini  S.Maria Maggiore;05.35;06.28;06.48;07.08;;07.21;07.31;07.40;07.46;07.53;;07.56;;08.01;08.10;08.11;08.13;08.14;08.15;08.21;08.31;08.36;08.41;08.46;08.51;09.01;09.01;09.11;09.21;09.31;09.36;09.51;09.56;10.01;10.01;10.11;10.21;10.31;10.41;10.51;;11.01;;11.11;11.31;11.51;12.01;12.09;12.11;12.28;12.31;;12.51;13.01;13.08;13.11;13.19;13.31;;13.48;13.51;14.01;14.11;14.31;14.51;15.01;15.11;15.31;15.51;16.01;16.01;16.11;;16.21;16.31;16.41;16.51;;17.01;17.01;;17.11;17.21;17.31;17.41;17.51;;18.01;18.01;;18.11;18.21;18.31;;18.41;18.51;19.01;19.11;19.31;19.51;20.01;20.11;20.37;21.37;22.37;23.37
Travai  al Nuoto / MUSE;05.37;06.30;06.50;07.10;;07.23;07.33;07.42;07.48;07.55;;07.58;;08.03;08.12;08.13;08.15;08.16;08.17;08.23;08.33;08.38;08.43;08.48;08.53;09.03;09.03;09.13;09.23;09.33;09.38;09.53;09.58;10.03;10.03;10.13;10.23;10.33;10.43;10.53;;11.03;;11.13;11.33;11.53;12.03;12.11;12.13;12.30;12.33;;12.53;13.03;13.10;13.13;13.21;13.33;;13.50;13.53;14.03;14.13;14.33;14.53;15.03;15.13;15.33;15.53;16.03;16.03;16.13;;16.23;16.33;16.43;16.53;;17.03;17.03;;17.13;17.23;17.33;17.43;17.53;;18.03;18.03;;18.13;18.23;18.33;;18.43;18.53;19.03;19.13;19.33;19.53;20.03;20.13;20.39;21.39;22.39;23.39
Piazza di Fiera;05.38;06.31;06.51;07.11;;07.24;07.34;07.43;07.49;07.56;;07.59;08.03;08.04;08.13;08.14;08.16;08.17;08.18;08.24;08.34;08.39;08.44;08.49;08.54;09.04;09.04;09.14;09.24;09.34;09.39;09.54;09.59;10.04;10.04;10.14;10.24;10.34;10.44;10.54;;11.04;;11.14;11.34;11.54;12.04;12.12;12.14;12.31;12.34;;12.54;13.04;13.11;13.14;13.22;13.34;;13.51;13.54;14.04;14.14;14.34;14.54;15.04;15.14;15.34;15.54;16.04;16.04;16.14;;16.24;16.34;16.44;16.54;;17.04;17.04;;17.14;17.24;17.34;17.44;17.54;;18.04;18.04;;18.14;18.24;18.34;;18.44;18.54;19.04;19.14;19.34;19.54;20.04;20.14;20.40;21.40;22.40;23.40
S.Francesco  Porta Nuova;05.40;06.33;06.53;07.13;;07.26;07.36;07.45;07.51;07.58;;08.01;08.05;08.06;08.15;08.16;08.18;08.19;08.20;08.26;08.36;08.41;08.46;08.51;08.56;09.06;09.06;09.16;09.26;09.36;09.41;09.56;10.01;10.06;10.06;10.16;10.26;10.36;10.46;10.56;;11.06;;11.16;11.36;11.56;12.06;12.14;12.16;12.33;12.36;;12.56;13.06;13.13;13.16;13.24;13.36;;13.53;13.56;14.06;14.16;14.36;14.56;15.06;15.16;15.36;15.56;16.06;16.06;16.16;;16.26;16.36;16.46;16.56;;17.06;17.06;;17.16;17.26;17.36;17.46;17.56;;18.06;18.06;;18.16;18.26;18.36;;18.46;18.56;19.06;19.16;19.36;19.56;20.06;20.16;20.42;21.42;22.42;23.42
Venezia  "Port'Aquila";05.40;06.33;06.53;07.13;;07.26;07.36;07.45;07.51;07.58;;08.01;08.05;08.06;08.15;08.16;08.18;08.19;08.20;08.26;08.36;08.41;08.46;08.51;08.56;09.06;09.06;09.16;09.26;09.36;09.41;09.56;10.01;10.06;10.06;10.16;10.26;10.36;10.46;10.56;;11.06;;11.16;11.36;11.56;12.06;12.14;12.16;12.33;12.36;;12.56;13.06;13.13;13.16;13.24;13.36;;13.53;13.56;14.06;14.16;14.36;14.56;15.06;15.16;15.36;15.56;16.06;16.06;16.16;;16.26;16.36;16.46;16.56;;17.06;17.06;;17.16;17.26;17.36;17.46;17.56;;18.06;18.06;;18.16;18.26;18.36;;18.46;18.56;19.06;19.16;19.36;19.56;20.06;20.16;20.42;21.42;22.42;23.42
Venezia  Cave;05.41;06.34;06.54;07.14;;07.27;07.37;07.46;07.52;07.59;;08.02;08.06;08.07;08.16;08.17;08.19;08.20;08.21;08.27;08.37;08.42;08.47;08.52;08.57;09.07;09.07;09.17;09.27;09.37;09.42;09.57;10.02;10.07;10.07;10.17;10.27;10.37;10.47;10.57;;11.07;;11.17;11.37;11.57;12.07;12.15;12.17;12.34;12.37;;12.57;13.07;13.14;13.17;13.25;13.37;;13.54;13.57;14.07;14.17;14.37;14.57;15.07;15.17;15.37;15.57;16.07;16.07;16.17;;16.27;16.37;16.47;16.57;;17.07;17.07;;17.17;17.27;17.37;17.47;17.57;;18.07;18.07;;18.17;18.27;18.37;;18.47;18.57;19.07;19.17;19.37;19.57;20.07;20.17;20.43;21.43;22.43;23.43
Venezia  "Corallo";05.43;06.36;06.56;07.16;;07.29;07.39;07.48;07.54;08.01;;08.04;08.08;08.09;08.18;08.19;08.21;08.22;08.23;08.29;08.39;08.44;08.49;08.54;08.59;09.09;09.09;09.19;09.29;09.39;09.44;09.59;10.04;10.09;10.09;10.19;10.29;10.39;10.49;10.59;;11.09;;11.19;11.39;11.59;12.09;12.17;12.19;12.36;12.39;;12.59;13.09;13.16;13.19;13.27;13.39;;13.56;13.59;14.09;14.19;14.39;14.59;15.09;15.19;15.39;15.59;16.09;16.09;16.19;;16.29;16.39;16.49;16.59;;17.09;17.09;;17.19;17.29;17.39;17.49;17.59;;18.09;18.09;;18.19;18.29;18.39;;18.49;18.59;19.09;19.19;19.39;19.59;20.09;20.19;20.45;21.45;22.45;23.45
