Descr.breve:;6
Descr.lunga:;Grotta - Villazzano - P.Dante - Vela
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;;;;;Feriale da Lunedì a Venerdì;Feriale solo il Sabato;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab
Linea:;;;;;Linea 1/;Linea 1/;;;;Linea 6/;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;Linea 6/;Linea 6/;;;;;Linea 2;;Linea 2;
Servizio:
POVO  "Polo sociale" cap.;;06.21;;;07.04;07.09
POVO  Piazza Manci;;06.22;;;07.05;07.10
GROTTA  Piazza;05.54;  |  ;06.37;06.57;  |  ;  |  ;;07.17;07.37;;07.57;08.13;08.23;08.37;08.57;09.13;09.23;09.37;09.57;10.13;10.23;10.37;10.57;11.13;11.23;11.37;11.57;12.13;12.23;;12.57;13.13;13.23;13.37;;13.57;14.13;14.23;14.37;14.57;15.13;15.23;15.37;15.57;16.13;16.23;16.37;16.57;17.13;17.23;;17.57;18.13;18.23;18.37;18.57;19.13;19.23;19.37;19.57;20.13;20.23;20.37;20.57;21.17;21.27;;22.17;;23.17
VILLAZZANO  Villa Belfonte;05.55;  |  ;06.38;06.58;  |  ;  |  ;;07.18;07.38;;07.58;08.14;08.24;08.38;08.58;09.14;09.24;09.38;09.58;10.14;10.24;10.38;10.58;11.14;11.24;11.38;11.58;12.14;12.24;;12.58;13.14;13.24;13.38;;13.58;14.14;14.24;14.38;14.58;15.14;15.24;15.38;15.58;16.14;16.24;16.38;16.58;17.14;17.24;;17.58;18.14;18.24;18.38;18.58;19.14;19.24;19.38;19.58;20.14;20.24;20.38;20.58;21.18;21.28;;22.18;;23.18
VILLAZZANO  Marzola;05.56;  |  ;06.39;06.59;  |  ;  |  ;;07.19;07.39;;07.59;08.15;08.25;08.39;08.59;09.15;09.25;09.39;09.59;10.15;10.25;10.39;10.59;11.15;11.25;11.39;11.59;12.15;12.25;;12.59;13.15;13.25;13.39;;13.59;14.15;14.25;14.39;14.59;15.15;15.25;15.39;15.59;16.15;16.25;16.39;16.59;17.15;17.25;;17.59;18.15;18.25;18.39;18.59;19.15;19.25;19.39;19.59;20.15;20.25;20.39;20.59;21.19;21.29;;22.19;;23.19
VILLAZZANO  Piazza Nicolini;05.58;  |  ;06.41;07.01;  |  ;  |  ;07.18;07.21;07.41;;08.01;08.17;08.27;08.41;09.01;09.17;09.27;09.41;10.01;10.17;10.27;10.41;11.01;11.17;11.27;11.41;12.01;12.17;12.27;;13.01;13.17;13.27;13.41;;14.01;14.17;14.27;14.41;15.01;15.17;15.27;15.41;16.01;16.17;16.27;16.41;17.01;17.17;17.27;;18.01;18.17;18.27;18.41;19.01;19.17;19.27;19.41;20.01;20.17;20.27;20.41;21.01;21.21;21.31;;22.21;;23.21
GABBIOLO  "Campo sportivo";  |  ;06.25;  |  ;  |  ;07.08;07.13;  |  ;  |  ;  |  ;07.52;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;12.40;  |  ;  |  ;  |  ;  |  ;13.52;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;17.40;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;;  |  
VILLAZZANO  Valnigra;  |  ;06.26;  |  ;  |  ;07.09;07.14;  |  ;  |  ;  |  ;07.53;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;12.41;  |  ;  |  ;  |  ;  |  ;13.53;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;17.41;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;;  |  
VILLAZZANO  "Chiesa";05.59;06.27;06.42;07.02;07.10;07.15;07.19;07.22;07.42;07.54;08.02;08.18;08.28;08.42;09.02;09.18;09.28;09.42;10.02;10.18;10.28;10.42;11.02;11.18;11.28;11.42;12.02;12.18;12.28;12.42;13.02;13.18;13.28;13.42;13.54;14.02;14.18;14.28;14.42;15.02;15.18;15.28;15.42;16.02;16.18;16.28;16.42;17.02;17.18;17.28;17.42;18.02;18.18;18.28;18.42;19.02;19.18;19.28;19.42;20.02;20.18;20.28;20.42;21.02;21.22;21.32;;22.22;;23.22
