Descr.breve:;6
Descr.lunga:;Grotta - Villazzano - P.Dante - Sopramonte
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FESTIVO
Frequenza:
Linea:;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/;Linea 1/
Servizio:
GROTTA  Piazza;;06.45;07.45;08.45;09.45;10.45;11.45;12.45;13.45;14.45;15.45;16.45;17.45;18.45;19.45;20.45;21.45
VILLAZZANO  Villa Belfonte;;06.46;07.46;08.46;09.46;10.46;11.46;12.46;13.46;14.46;15.46;16.46;17.46;18.46;19.46;20.46;21.46
VILLAZZANO  Marzola;;06.47;07.47;08.47;09.47;10.47;11.47;12.47;13.47;14.47;15.47;16.47;17.47;18.47;19.47;20.47;21.47
VILLAZZANO  Giordano;;06.48;07.48;08.48;09.48;10.48;11.48;12.48;13.48;14.48;15.48;16.48;17.48;18.48;19.48;20.48;21.48
VILLAZZANO  Piazza Nicolini;;06.49;07.49;08.49;09.49;10.49;11.49;12.49;13.49;14.49;15.49;16.49;17.49;18.49;19.49;20.49;21.49
VILLAZZANO  "Chiesa";;06.50;07.50;08.50;09.50;10.50;11.50;12.50;13.50;14.50;15.50;16.50;17.50;18.50;19.50;20.50;21.50
VILLAZZANO  Banala;;06.51;07.51;08.51;09.51;10.51;11.51;12.51;13.51;14.51;15.51;16.51;17.51;18.51;19.51;20.51;21.51
VILLAZZANO  "Villa Tambosi";;06.52;07.52;08.52;09.52;10.52;11.52;12.52;13.52;14.52;15.52;16.52;17.52;18.52;19.52;20.52;21.52
SAN ROCCO  Piazza;;06.54;07.54;08.54;09.54;10.54;11.54;12.54;13.54;14.54;15.54;16.54;17.54;18.54;19.54;20.54;21.54
SAN ROCCO  Torricelle;;06.55;07.55;08.55;09.55;10.55;11.55;12.55;13.55;14.55;15.55;16.55;17.55;18.55;19.55;20.55;21.55
SS 349  Pozzata;;06.56;07.56;08.56;09.56;10.56;11.56;12.56;13.56;14.56;15.56;16.56;17.56;18.56;19.56;20.56;21.56
VILLAZZANO  "Stazione FS";;06.56;07.56;08.56;09.56;10.56;11.56;12.56;13.56;14.56;15.56;16.56;17.56;18.56;19.56;20.56;21.56
Asiago  S. Bartolameo;;06.57;07.57;08.57;09.57;10.57;11.57;12.57;13.57;14.57;15.57;16.57;17.57;18.57;19.57;20.57;21.57
Asiago  "Cernidor";;06.58;07.58;08.58;09.58;10.58;11.58;12.58;13.58;14.58;15.58;16.58;17.58;18.58;19.58;20.58;21.58
Asiago  "Bellevue";;06.58;07.58;08.58;09.58;10.58;11.58;12.58;13.58;14.58;15.58;16.58;17.58;18.58;19.58;20.58;21.58
Vicenza  Montello;;07.00;08.00;09.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00
Piazza Vicenza;;07.01;08.01;09.01;10.01;11.01;12.01;13.01;14.01;15.01;16.01;17.01;18.01;19.01;20.01;21.01;22.01
Giovanelli  "Osp. S.Camillo";;07.02;08.02;09.02;10.02;11.02;12.02;13.02;14.02;15.02;16.02;17.02;18.02;19.02;20.02;21.02;22.02
Grazioli  Brigata Acqui;;07.03;08.03;09.03;10.03;11.03;12.03;13.03;14.03;15.03;16.03;17.03;18.03;19.03;20.03;21.03;22.03
Sanzio  "Castello";;07.07;08.07;09.07;10.07;11.07;12.07;13.07;14.07;15.07;16.07;17.07;18.07;19.07;20.07;21.07;22.07
Romagnosi  Vannetti;;07.09;08.09;09.09;10.09;11.09;12.09;13.09;14.09;15.09;16.09;17.09;18.09;19.09;20.09;21.09;22.09
Piazza Dante  "Stazione FS";06.04;07.10;08.10;09.10;10.10;11.10;12.10;13.10;14.10;15.10;16.10;17.10;18.10;19.10;20.10;21.10;22.10
S.Lorenzo  "Funivia";06.05;07.11;08.11;09.11;10.11;11.11;12.11;13.11;14.11;15.11;16.11;17.11;18.11;19.11;20.11;21.11;22.11
Brescia  "Piedicastello";06.07;07.13;08.13;09.13;10.13;11.13;12.13;13.13;14.13;15.13;16.13;17.13;18.13;19.13;20.13;21.13;22.13
Brescia  Divisioni Alpine;06.07;07.13;08.13;09.13;10.13;11.13;12.13;13.13;14.13;15.13;16.13;17.13;18.13;19.13;20.13;21.13;22.13
CADINE  Strada Gardesana;06.15;07.21;08.21;09.21;10.21;11.21;12.21;13.21;14.21;15.21;16.21;17.21;18.21;19.21;20.21;21.21;22.21
BASELGA DEL BONDONE;06.20;07.26;08.26;09.26;10.26;11.26;12.26;13.26;14.26;15.26;16.26;17.26;18.26;19.26;20.26;21.26;22.26
SOPRAMONTE  Piazza Oveno;06.25;07.31;08.31;09.31;10.31;11.31;12.31;13.31;14.31;15.31;16.31;17.31;18.31;19.31;20.31;21.31;22.31
SOPRAMONTE  "Maso Banal";06.27;07.33;08.33;09.33;10.33;11.33;12.33;13.33;14.33;15.33;16.33;17.33;18.33;19.33;20.33;21.33;22.33
SOPRAMONTE  Piazza Oveno;06.29;07.35;08.35;09.35;10.35;11.35;12.35;13.35;14.35;15.35;16.35;17.35;18.35;19.35;20.35;21.35;22.35
