Descr.breve:;10
Descr.lunga:;P.Dante-Martignano-Villamontagna/Montevaccino
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FESTIVO
Frequenza:
Linea:;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;;
Servizio:
Piazza Dante  "Stazione FS";06.15;07.15;08.15;09.15;10.15;11.15;12.15;13.15;14.15;15.15;16.15;17.15;18.15;19.15;20.15;21.15;22.15
Rosmini  S.Maria Maggiore;06.17;07.17;08.17;09.17;10.17;11.17;12.17;13.17;14.17;15.17;16.17;17.17;18.17;19.17;20.17;21.17;22.17
Travai  al Nuoto / MUSE;06.19;07.19;08.19;09.19;10.19;11.19;12.19;13.19;14.19;15.19;16.19;17.19;18.19;19.19;20.19;21.19;22.19
Piazza di Fiera;06.20;07.20;08.20;09.20;10.20;11.20;12.20;13.20;14.20;15.20;16.20;17.20;18.20;19.20;20.20;21.20;22.20
S.Francesco  Porta Nuova;06.22;07.22;08.22;09.22;10.22;11.22;12.22;13.22;14.22;15.22;16.22;17.22;18.22;19.22;20.22;21.22;22.22
Cervara  "Port'Aquila";06.24;07.24;08.24;09.24;10.24;11.24;12.24;13.24;14.24;15.24;16.24;17.24;18.24;19.24;20.24;21.24;22.24
Cervara  Cereria;06.26;07.26;08.26;09.26;10.26;11.26;12.26;13.26;14.26;15.26;16.26;17.26;18.26;19.26;20.26;21.26;22.26
"Quattro Strade";06.27;07.27;08.27;09.27;10.27;11.27;12.27;13.27;14.27;15.27;16.27;17.27;18.27;19.27;20.27;21.27;22.27
Missioni Africane;06.27;07.27;08.27;09.27;10.27;11.27;12.27;13.27;14.27;15.27;16.27;17.27;18.27;19.27;20.27;21.27;22.27
MARTIGNANO  Capitel;06.29;07.29;08.29;09.29;10.29;11.29;12.29;13.29;14.29;15.29;16.29;17.29;18.29;19.29;20.29;21.29;22.29
MARTIGNANO  Castori;06.30;07.30;08.30;09.30;10.30;11.30;12.30;13.30;14.30;15.30;16.30;17.30;18.30;19.30;20.30;21.30;22.30
MARTIGNANO  Cesarini;06.31;07.31;08.31;09.31;10.31;11.31;12.31;13.31;14.31;15.31;16.31;17.31;18.31;19.31;20.31;21.31;22.31
MARTIGNANO  "Chiesa";06.32;07.32;08.32;09.32;10.32;11.32;12.32;13.32;14.32;15.32;16.32;17.32;18.32;19.32;20.32;21.32;22.32
MARTIGNANO  P.zza Menghin;06.33;07.33;08.33;09.33;10.33;11.33;12.33;13.33;14.33;15.33;16.33;17.33;18.33;19.33;20.33;21.33;22.33
MARTIGNANO  ai Bolleri;  |  ;07.34;  |  ;09.34;  |  ;11.34;  |  ;13.34;  |  ;15.34;  |  ;17.34;  |  ;19.34;  |  ;  |  ;  |  
MASO BOLLERI;  |  ;07.36;  |  ;09.36;  |  ;11.36;  |  ;13.36;  |  ;15.36;  |  ;17.36;  |  ;19.36;  |  ;  |  ;  |  
MONTEVACCINO;  |  ;07.45;  |  ;09.45;  |  ;11.45;  |  ;13.45;  |  ;15.45;  |  ;17.45;  |  ;19.45;  |  ;  |  ;  |  
MARTIGNANO  Costiole;06.34;;08.34;;10.34;;12.34;;14.34;;16.34;;18.34;;20.34;21.34;22.34
MARTIGNANO  Formigheta;06.35;;08.35;;10.35;;12.35;;14.35;;16.35;;18.35;;20.35;21.35;22.35
ZELL  Marnighe;06.37;;08.37;;10.37;;12.37;;14.37;;16.37;;18.37;;20.37;21.37;22.37
COGNOLA  "Chiesa";06.38;;08.38;;10.38;;12.38;;14.38;;16.38;;18.38;;20.38;21.38;22.38
SAN DONÀ;06.39;;08.39;;10.39;;12.39;;14.39;;16.39;;18.39;;20.39;21.39;22.39
SAN DONÀ  "Chiesa";06.40;;08.40;;10.40;;12.40;;14.40;;16.40;;18.40;;20.40;21.40;22.40
SAN VITO;06.41;;08.41;;10.41;;12.41;;14.41;;16.41;;18.41;;20.41;21.41;22.41
COGNOLA  "Scuole";06.44;;08.44;;10.44;;12.44;;14.44;;16.44;;18.44;;20.44;21.44;22.44
COGNOLA  bivio Civezzano;06.47;;08.47;;10.47;;12.47;;14.47;;16.47;;18.47;;20.47;21.47;22.47
TAVERNARO  centro;06.48;;08.48;;10.48;;12.48;;14.48;;16.48;;18.48;;20.48;21.48;22.48
VILLAMONTAGNA  P.Predaroi;06.52;;08.52;;10.52;;12.52;;14.52;;16.52;;18.52;;20.52;21.52;22.52
