Descr.breve:;10
Descr.lunga:;Cognola / Montevaccino - Martignano - P.Dante
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;Feriale da Lunedì a Venerdì;;;;;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;;;;;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;;Scolastica da Lunedì a Giovedì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab
Linea:;Linea 9;Linea 9;;Linea 9;;Linea 10/;;;;;Linea 9;;;;;<b>M</b>;;;;<b>M</b>;;<b>M</b>;;<b>M</b>;;;;<b>M</b>;;;;<b>M</b>;;<b>M</b>;;<b>M</b>;;;;Linea 10/;;;Linea 10/;;;Linea 10/;;;;<b>M</b>;;<b>M</b>;;<b>M</b>;;;;<b>M</b>;;Linea 10/;Linea 10/;;;Linea 10/;;<b>M</b>;;<b>M</b>;;;;<b>M</b>;;;;<b>M</b>;;<b>M</b>;;<b>M</b>;;;;<b>M</b>;;;;<b>M</b>;;<b>M</b>;;;
Servizio:
VILLAMONTAGNA  P.Predaroi;05.01;05.48;06.24;06.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.46;22.56
TAVERNARO  centro;05.04;05.52;06.28;06.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.50;23.00
COGNOLA  bivio Civezzano;05.05;05.53;06.29;06.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.51;23.01
COGNOLA  Grezoni;05.06;05.54;06.30;06.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.52;23.02
COGNOLA  "Scuole";05.07;05.55;06.31;06.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.53;23.03
COGNOLA  "Centro civico";05.07;05.55;06.31;06.43;07.04;;;;07.19;;;07.39;07.59;08.14;08.39;;08.59;09.19;09.29;;09.39;;09.59;;10.19;10.29;10.39;;10.59;11.19;11.29;;11.39;;11.59;;12.19;12.29;12.39;;12.59;13.19;13.23;13.29;13.39;;13.59;14.19;14.29;;14.39;;14.59;;15.19;15.29;15.39;;15.59;16.10;16.10;16.19;16.29;;16.39;;16.59;;17.19;17.29;17.39;;17.59;18.19;18.29;;18.39;;18.59;;19.19;19.29;19.39;;19.59;20.19;20.29;;20.39;;20.59;21.53;23.03
ZELL  Marnighe;05.08;05.56;06.32;06.44;07.05;;;;07.20;;;07.40;08.00;08.15;08.40;;09.00;09.20;09.30;;09.40;;10.00;;10.20;10.30;10.40;;11.00;11.20;11.30;;11.40;;12.00;;12.20;12.30;12.40;;13.00;13.20;13.24;13.30;13.40;;14.00;14.20;14.30;;14.40;;15.00;;15.20;15.30;15.40;;16.00;16.11;16.11;16.20;16.30;;16.40;;17.00;;17.20;17.30;17.40;;18.00;18.20;18.30;;18.40;;19.00;;19.20;19.30;19.40;;20.00;20.20;20.30;;20.40;;21.00;21.54;23.04
SP 131  "Maso Pradiscola";05.09;05.57;06.33;06.45;07.06;;;;07.21;;;07.41;08.01;08.16;08.41;;09.01;09.21;09.31;;09.41;;10.01;;10.21;10.31;10.41;;11.01;11.21;11.31;;11.41;;12.01;;12.21;12.31;12.41;;13.01;13.21;13.25;13.31;13.41;;14.01;14.21;14.31;;14.41;;15.01;;15.21;15.31;15.41;;16.01;16.12;16.12;16.21;16.31;;16.41;;17.01;;17.21;17.31;17.41;;18.01;18.21;18.31;;18.41;;19.01;;19.21;19.31;19.41;;20.01;20.21;20.31;;20.41;;21.01;21.55;23.05
MARTIGNANO  Formigheta;05.10;05.58;06.34;06.46;07.07;;;;07.22;;;07.42;08.02;08.17;08.42;;09.02;09.22;09.32;;09.42;;10.02;;10.22;10.32;10.42;;11.02;11.22;11.32;;11.42;;12.02;;12.22;12.32;12.42;;13.02;13.22;13.26;13.32;13.42;;14.02;14.22;14.32;;14.42;;15.02;;15.22;15.32;15.42;;16.02;16.13;16.13;16.22;16.32;;16.42;;17.02;;17.22;17.32;17.42;;18.02;18.22;18.32;;18.42;;19.02;;19.22;19.32;19.42;;20.02;20.22;20.32;;20.42;;21.02;21.56;23.06
MARTIGNANO  Costiole;05.11;05.59;06.35;06.47;07.08;;;;07.23;;;07.43;08.03;08.18;08.43;;09.03;09.23;09.33;;09.43;;10.03;;10.23;10.33;10.43;;11.03;11.23;11.33;;11.43;;12.03;;12.23;12.33;12.43;;13.03;13.23;  |  ;13.33;13.43;;14.03;14.23;14.33;;14.43;;15.03;;15.23;15.33;15.43;;16.03;  |  ;  |  ;16.23;16.33;;16.43;;17.03;;17.23;17.33;17.43;;18.03;18.23;18.33;;18.43;;19.03;;19.23;19.33;19.43;;20.03;20.23;20.33;;20.43;;21.03;21.57;23.07
MONTEVACCINO;  |  ;  |  ;  |  ;  |  ;  |  ;07.00;;;  |  ;;07.26;  |  ;  |  ;  |  ;  |  ;08.50;  |  ;  |  ;  |  ;09.30;  |  ;09.50;  |  ;10.10;  |  ;  |  ;  |  ;10.50;  |  ;  |  ;  |  ;11.30;  |  ;11.50;  |  ;12.10;  |  ;  |  ;  |  ;12.45;  |  ;  |  ;13.39;  |  ;  |  ;13.50;  |  ;  |  ;  |  ;14.30;  |  ;14.50;  |  ;15.10;  |  ;  |  ;  |  ;15.50;  |  ;16.26;16.26;  |  ;  |  ;16.30;  |  ;16.50;  |  ;17.10;  |  ;  |  ;  |  ;17.50;  |  ;  |  ;  |  ;18.30;  |  ;18.50;  |  ;19.10;  |  ;  |  ;  |  ;19.50;  |  ;  |  ;  |  ;20.30;  |  ;20.36;  |  ;  |  ;  |  
MASO BOLLERI;  |  ;  |  ;  |  ;  |  ;  |  ;07.08;;;  |  ;;07.34;  |  ;  |  ;  |  ;  |  ;08.58;  |  ;  |  ;  |  ;09.38;  |  ;09.58;  |  ;10.18;  |  ;  |  ;  |  ;10.58;  |  ;  |  ;  |  ;11.38;  |  ;11.58;  |  ;12.18;  |  ;  |  ;  |  ;12.53;  |  ;  |  ;  |  ;  |  ;  |  ;13.58;  |  ;  |  ;  |  ;14.38;  |  ;14.58;  |  ;15.18;  |  ;  |  ;  |  ;15.58;  |  ;  |  ;  |  ;  |  ;  |  ;16.38;  |  ;16.58;  |  ;17.18;  |  ;  |  ;  |  ;17.58;  |  ;  |  ;  |  ;18.38;  |  ;18.58;  |  ;19.18;  |  ;  |  ;  |  ;19.58;  |  ;  |  ;  |  ;20.38;  |  ;20.44;  |  ;  |  ;  |  
SP 131  "Res. Silvana";  |  ;  |  ;  |  ;  |  ;  |  ;07.09;;;  |  ;;07.35;  |  ;  |  ;  |  ;  |  ;08.59;  |  ;  |  ;  |  ;09.39;  |  ;09.59;  |  ;10.19;  |  ;  |  ;  |  ;10.59;  |  ;  |  ;  |  ;11.39;  |  ;11.59;  |  ;12.19;  |  ;  |  ;  |  ;12.54;  |  ;  |  ;  |  ;  |  ;  |  ;13.59;  |  ;  |  ;  |  ;14.39;  |  ;14.59;  |  ;15.19;  |  ;  |  ;  |  ;15.59;  |  ;  |  ;  |  ;  |  ;  |  ;16.39;  |  ;16.59;  |  ;17.19;  |  ;  |  ;  |  ;17.59;  |  ;  |  ;  |  ;18.39;  |  ;18.59;  |  ;19.19;  |  ;  |  ;  |  ;19.59;  |  ;  |  ;  |  ;20.39;  |  ;20.45;  |  ;  |  ;  |  
MARTIGNANO  ai Bolleri;  |  ;  |  ;  |  ;  |  ;  |  ;07.10;;;  |  ;;07.36;  |  ;  |  ;  |  ;  |  ;09.00;  |  ;  |  ;  |  ;09.40;  |  ;10.00;  |  ;10.20;  |  ;  |  ;  |  ;11.00;  |  ;  |  ;  |  ;11.40;  |  ;12.00;  |  ;12.20;  |  ;  |  ;  |  ;12.55;  |  ;  |  ;  |  ;  |  ;  |  ;14.00;  |  ;  |  ;  |  ;14.40;  |  ;15.00;  |  ;15.20;  |  ;  |  ;  |  ;16.00;  |  ;  |  ;  |  ;  |  ;  |  ;16.40;  |  ;17.00;  |  ;17.20;  |  ;  |  ;  |  ;18.00;  |  ;  |  ;  |  ;18.40;  |  ;19.00;  |  ;19.20;  |  ;  |  ;  |  ;20.00;  |  ;  |  ;  |  ;20.40;  |  ;20.46;  |  ;  |  ;  |  
MARTIGNANO  P.zza Menghin;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;;;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;09.02;  |  ;  |  ;  |  ;09.42;  |  ;10.02;  |  ;10.22;  |  ;  |  ;  |  ;11.02;  |  ;  |  ;  |  ;11.42;  |  ;12.02;  |  ;12.22;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;13.27;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;14.42;  |  ;15.02;  |  ;15.22;  |  ;  |  ;  |  ;16.02;  |  ;16.14;16.14;  |  ;  |  ;  |  ;  |  ;17.02;  |  ;17.22;  |  ;  |  ;  |  ;18.02;  |  ;  |  ;  |  ;18.42;  |  ;19.02;  |  ;19.22;  |  ;  |  ;  |  ;20.02;  |  ;  |  ;  |  ;20.42;  |  ;20.48;  |  ;  |  ;  |  
MARTIGNANO  P.zza Menghin;05.12;06.00;06.36;06.48;07.09;07.11;07.20;07.23;07.24;07.26;07.37;07.44;08.04;08.19;08.44;;09.04;09.24;09.34;;09.44;;10.04;;10.24;10.34;10.44;;11.04;11.24;11.34;;11.44;;12.04;;12.24;12.34;12.44;12.56;13.04;13.24;;13.34;13.44;14.01;14.04;14.24;14.34;;14.44;;15.04;;15.24;15.34;15.44;;16.04;;;16.24;16.34;16.41;16.44;;17.04;;17.24;17.34;17.44;;18.04;18.24;18.34;;18.44;;19.04;;19.24;19.34;19.44;;20.04;20.24;20.34;;20.44;;21.04;21.58;23.08
MARTIGNANO  Piazza Canopi;05.12;06.00;06.36;06.48;07.09;07.11;07.20;07.23;07.24;07.26;  |  ;07.44;08.04;08.19;08.44;;09.04;09.24;09.34;;09.44;;10.04;;10.24;10.34;10.44;;11.04;11.24;11.34;;11.44;;12.04;;12.24;12.34;12.44;12.56;13.04;13.24;;13.34;13.44;;14.04;14.24;14.34;;14.44;;15.04;;15.24;15.34;15.44;;16.04;;;16.24;16.34;;16.44;;17.04;;17.24;17.34;17.44;;18.04;18.24;18.34;;18.44;;19.04;;19.24;19.34;19.44;;20.04;20.24;20.34;;20.44;;21.04;21.58;23.08
MARTIGNANO  Cesarini;05.13;06.01;06.37;06.49;07.10;07.12;07.21;07.24;07.25;07.27;  |  ;07.45;08.05;08.20;08.45;;09.05;09.25;09.35;;09.45;;10.05;;10.25;10.35;10.45;;11.05;11.25;11.35;;11.45;;12.05;;12.25;12.35;12.45;12.57;13.05;13.25;;13.35;13.45;;14.05;14.25;14.35;;14.45;;15.05;;15.25;15.35;15.45;;16.05;;;16.25;16.35;;16.45;;17.05;;17.25;17.35;17.45;;18.05;18.25;18.35;;18.45;;19.05;;19.25;19.35;19.45;;20.05;20.25;20.35;;20.45;;21.05;21.59;23.09
MARTIGNANO  Castori;05.14;06.02;06.38;06.50;07.11;07.13;07.22;07.25;07.26;07.28;  |  ;07.46;08.06;08.21;08.46;;09.06;09.26;09.36;;09.46;;10.06;;10.26;10.36;10.46;;11.06;11.26;11.36;;11.46;;12.06;;12.26;12.36;12.46;12.58;13.06;13.26;;13.36;13.46;;14.06;14.26;14.36;;14.46;;15.06;;15.26;15.36;15.46;;16.06;;;16.26;16.36;;16.46;;17.06;;17.26;17.36;17.46;;18.06;18.26;18.36;;18.46;;19.06;;19.26;19.36;19.46;;20.06;20.26;20.36;;20.46;;21.06;22.00;23.10
MARTIGNANO  Capitel;05.15;06.03;06.39;06.51;07.12;07.14;07.23;07.26;07.27;07.29;  |  ;07.47;08.07;08.22;08.47;;09.07;09.27;09.37;;09.47;;10.07;;10.27;10.37;10.47;;11.07;11.27;11.37;;11.47;;12.07;;12.27;12.37;12.47;12.59;13.07;13.27;;13.37;13.47;;14.07;14.27;14.37;;14.47;;15.07;;15.27;15.37;15.47;;16.07;;;16.27;16.37;;16.47;;17.07;;17.27;17.37;17.47;;18.07;18.27;18.37;;18.47;;19.07;;19.27;19.37;19.47;;20.07;20.27;20.37;;20.47;;21.07;22.01;23.11
