Descr.breve:;11
Descr.lunga:;Spini di Gardolo - Via Brennero - P.Dante
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;Feriale da Lunedì a Venerdì;;;;Scolastica da Lunedì a Sabato
Linea:;;Linea 7;Linea G;;;;Linea G;;;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;;;Linea G;;Linea G;;;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;Linea 17/;Linea 17/;Linea 17/
Servizio:
SPINI DI GARDOLO;06.08;06.30;;07.03;07.20;07.48;;08.18;08.39;09.09;09.39;10.09;;10.39;11.09;11.39;;12.03;12.39;13.09;;13.39;;14.09;14.39;15.09;15.39;16.09;;16.39;17.09;;17.39;18.09;;18.39;19.09;19.39;20.09;20.39;21.44;22.18;23.18
SPINI  Klagenfurt;06.09;06.31;;07.04;07.21;07.49;;08.19;08.40;09.10;09.40;10.10;;10.40;11.10;11.40;;12.04;12.40;13.10;;13.40;;14.10;14.40;15.10;15.40;16.10;;16.40;17.10;;17.40;18.10;;18.40;19.10;19.40;20.10;20.40;21.45;22.19;23.19
SPINI  Linz;06.10;06.32;;07.05;07.22;07.50;;08.20;08.41;09.11;09.41;10.11;;10.41;11.11;11.41;;12.05;12.41;13.11;;13.41;;14.11;14.41;15.11;15.41;16.11;;16.41;17.11;;17.41;18.11;;18.41;19.11;19.41;20.11;20.41;21.46;22.20;23.20
SPINI  "Officine";06.11;06.33;;07.06;07.23;07.51;;08.21;08.42;  |  ;09.42;10.12;;10.42;  |  ;11.42;;12.06;12.42;13.12;;13.42;;14.12;14.42;15.12;15.42;16.12;;16.42;17.12;;17.42;18.12;;18.42;19.12;19.42;20.12;20.42;21.47;22.21;23.21
SPINI  "Zona Ind.le FTM";06.12;06.34;;07.07;07.24;07.52;;08.22;08.43;  |  ;09.43;10.13;;10.43;  |  ;11.43;;12.07;12.43;13.13;;13.43;;14.13;14.43;15.13;15.43;16.13;;16.43;17.13;;17.43;18.13;;18.43;19.13;19.43;20.13;20.43;21.48;22.22;23.22
SPINI  Palazzine;  |  ;  |  ;;  |  ;  |  ;  |  ;;  |  ;  |  ;09.12;  |  ;  |  ;;  |  ;11.12;  |  ;;  |  ;  |  ;  |  ;;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  
CROSARE  parcheggio;  |  ;  |  ;;  |  ;  |  ;  |  ;;  |  ;  |  ;09.15;  |  ;  |  ;;  |  ;11.15;  |  ;;  |  ;  |  ;  |  ;;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;;  |  ;  |  ;;  |  ;  |  ;;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  
SS 12  bivio Meano;06.13;06.35;;07.08;07.25;07.53;;08.23;08.44;  |  ;09.44;10.14;;10.44;  |  ;11.44;;12.08;12.44;13.14;;13.44;;14.14;14.44;15.14;15.44;16.14;;16.44;17.14;;17.44;18.14;;18.44;19.14;19.44;20.14;20.44;21.49;22.23;23.23
GARD.d.MEZZO  Maso Garbini;  |  ;  |  ;-06.52;  |  ;  |  ;  |  ;08.15;  |  ;  |  ;  |  ;  |  ;  |  ;-10.11;  |  ;  |  ;  |  ;-11.40;  |  ;  |  ;  |  ;-13.19;  |  ;-14.01;  |  ;  |  ;  |  ;  |  ;  |  ;-16.29;  |  ;  |  ;-17.29;  |  ;  |  ;-18.29;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  
