Descr.breve:;17
Descr.lunga:;Lavis - S.Lazzaro - Via Bolzano - P.Dante
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Sabato;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì
Linea:;;Linea 8;;;Linea 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 17/;Linea 17/;Linea 17/
Servizio:
LAVIS  Nazionale;-06.29;-06.49;-06.59;-07.06;-07.10;-07.11;-07.36;-07.56;-08.16;-08.26;-08.36;-08.56;-09.16;-09.26;-09.36;-09.56;-10.16;-10.26;-10.36;-10.56;-11.16;-11.26;-11.36;-11.56;-12.16;-12.26;-12.36;-12.56;-13.16;-13.26;-13.36;-13.56;-14.16;-14.26;-14.36;-14.56;-15.16;-15.26;-15.36;-15.56;-16.16;-16.26;-16.36;-16.56;-17.16;-17.26;-17.36;-17.56;-18.16;-18.26;-18.36;-18.56;-19.16;-19.26;-19.36;-19.56;-20.16;-20.26;-20.36;-20.56;-21.26;-22.00;-23.00
LAVIS  Rosmini  Segantini;06.31;06.51;07.01;07.08;07.12;07.16;07.41;08.01;08.21;08.31;08.41;09.01;09.21;09.31;09.41;10.01;10.21;10.31;10.41;11.01;11.21;11.31;11.41;12.01;12.21;12.31;12.41;13.01;13.21;13.31;13.41;14.01;14.21;14.31;14.41;15.01;15.21;15.31;15.41;16.01;16.21;16.31;16.41;17.01;17.21;17.31;17.41;18.01;18.21;18.31;18.41;19.01;19.21;19.31;19.41;20.01;20.21;20.31;20.41;21.01;21.31;22.05;23.05
LAVIS  "Municipio";06.32;06.52;07.02;07.09;07.13;07.17;07.42;08.02;08.22;08.32;08.42;09.02;09.22;09.32;09.42;10.02;10.22;10.32;10.42;11.02;11.22;11.32;11.42;12.02;12.22;12.32;12.42;13.02;13.22;13.32;13.42;14.02;14.22;14.32;14.42;15.02;15.22;15.32;15.42;16.02;16.22;16.32;16.42;17.02;17.22;17.32;17.42;18.02;18.22;18.32;18.42;19.02;19.22;19.32;19.42;20.02;20.22;20.32;20.42;21.02;21.32;22.06;23.06
LAVIS  Piazza Mercato;06.34;06.54;07.04;07.11;07.15;07.19;07.44;08.04;08.24;08.34;08.44;09.04;09.24;09.34;09.44;10.04;10.24;10.34;10.44;11.04;11.24;11.34;11.44;12.04;12.24;12.34;12.44;13.04;13.24;13.34;13.44;14.04;14.24;14.34;14.44;15.04;15.24;15.34;15.44;16.04;16.24;16.34;16.44;17.04;17.24;17.34;17.44;18.04;18.24;18.34;18.44;19.04;19.24;19.34;19.44;20.04;20.24;20.34;20.44;21.04;21.34;22.08;23.08
SAN LAZZARO  ponte Avisio;06.36;06.56;07.06;07.13;07.17;07.21;07.46;08.06;08.26;08.36;08.46;09.06;09.26;09.36;09.46;10.06;10.26;10.36;10.46;11.06;11.26;11.36;11.46;12.06;12.26;12.36;12.46;13.06;13.26;13.36;13.46;14.06;14.26;14.36;14.46;15.06;15.26;15.36;15.46;16.06;16.26;16.36;16.46;17.06;17.26;17.36;17.46;18.06;18.26;18.36;18.46;19.06;19.26;19.36;19.46;20.06;20.26;20.36;20.46;21.06;21.36;22.10;23.10
LAMAR  "FTM";06.39;06.59;07.09;07.16;07.20;07.24;07.49;08.09;08.29;08.39;08.49;09.09;09.29;09.39;09.49;10.09;10.29;10.39;10.49;11.09;11.29;11.39;11.49;12.09;12.29;12.39;12.49;13.09;13.29;13.39;13.49;14.09;14.29;14.39;14.49;15.09;15.29;15.39;15.49;16.09;16.29;16.39;16.49;17.09;17.29;17.39;17.49;18.09;18.29;18.39;18.49;19.09;19.29;19.39;19.49;20.09;20.29;20.39;20.49;21.09;21.39;22.13;23.13
SS 12  "Zona Ind.le FTM";06.40;07.00;07.10;07.17;07.21;07.25;07.50;08.10;08.30;08.40;08.50;09.10;09.30;09.40;09.50;10.10;10.30;10.40;10.50;11.10;11.30;11.40;11.50;12.10;12.30;12.40;12.50;13.10;13.30;13.40;13.50;14.10;14.30;14.40;14.50;15.10;15.30;15.40;15.50;16.10;16.30;16.40;16.50;17.10;17.30;17.40;17.50;18.10;18.30;18.40;18.50;19.10;19.30;19.40;19.50;20.10;20.30;20.40;20.50;21.10;21.40;22.14;23.14
SPINI  Masadori;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;21.42;22.16;23.16
SPINI DI GARDOLO;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;21.44;22.18;23.18
SPINI  Linz;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;21.46;22.20;23.20
SPINI  "Zona Ind.le FTM";  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;  |  ;21.48;22.22;23.22
